first,last,title,company,industry,linkedin_url,person_info,company_info,company_goals,homepage_url,total_funding,latest_round,valuation,key_investors,funding_notes
Bruno,Quemener,Ceo,innovfast innovation by AI,Artificial Intelligence & Machine Learning,https://www.linkedin.com/in/quemener-bruno,"Bruno Quemener is the founder and CEO (PDG) of InnovFast, based in Rennes, France. He previously led digital innovation and information systems at major international groups including Delta Dore, Sagemcom and Playmobil, and founded the digital-transformation accelerator Move2.digital. He brings deep experience in helping marketing, innovation and strategy leaders make faster, evidence-based decisions.","InnovFast (by Move2.digital) is an AI-powered market-intelligence and decision-support platform that turns market, competitor and customer data into immediately actionable strategic decisions. The homepage positions it as 'the first AI platform that transforms innovation processes by integrating agility and customer needs at every step,' offering market studies in under 30 minutes, AI-augmented ideation, and rapid concept validation using synthetic personas.","InnovFast is building an agentic AI 'Decision and Market Intelligence' platform with an Evidence Graph for traceable decisions and H1/H2/H3 strategic prioritization, aiming to help companies innovate roughly 10x faster, reduce product-investment risk and halve time-to-market. It serves SMEs, mid-caps and large groups (B2B and B2C) across sectors like banking/insurance, energy, retail, mobility, luxury and industry, targeting innovation, marketing, strategy, product and R&D directors.",https://innovfast.move2.digital/,Unknown,,,,Early-stage AI innovation co-pilot platform ('innovate 10x faster'); no funding rounds found in search results.
Matthew,Wise,Global AI Deployment Director,TecEx,Cloud Infrastructure & Data Centers,https://www.linkedin.com/in/matthew-wise3,"Matthew Wise is Global AI Infrastructure Deployment Director at TecEx, where he focuses on enabling cross-border deployment of AI and data-center hardware. Based in the Cape Town area (TecEx's home market), he works within the company's trade-compliance and global-deployment organization. His role centers on helping enterprises move tech hardware into the 200+ markets TecEx services, in full regulatory compliance.","TecEx is a global trade-compliance specialist and the market leader in Importer of Record (IOR) solutions for the technology supply chain, grounded by its homepage tagline 'Tech Hardware Clearing Customs Globally.' It removes barriers to trade by handling customs compliance, HS-code classification and the import/export of tech hardware to more than 200 destinations. The company reports 75,000+ successful shipments across 211 borders and 23 industries.","TecEx sells Importer of Record (IOR), Exporter of Record (EOR), Delivered Duty Paid (DDP), trade-compliance, liability cover, VAT recovery and reverse-logistics (RMA) services, plus a shipping portal for instant quotes and real-time tracking. It is increasingly focused on AI infrastructure and data-center deployment, helping enterprises and hyperscalers ship sensitive tech gear globally without local entities, derisking and streamlining their supply chains.",https://www.tecex.com,Not disclosed,,,,Bootstrapped global Importer-of-Record/customs-compliance firm (~$68.6M 2026 revenue); no disclosed external funding rounds.
Davide,Petrillo,CEO,Aevra,Artificial Intelligence & Machine Learning,https://www.linkedin.com/in/davide-petrillo-1652a4235,"Davide Petrillo is the founder/CEO of Aevra, based in Reykjavík, Iceland. His background spans venture and startup roles, including Venture Partner at the deep-tech investor Scientifica, where he sourced and assessed early-stage AI and IT ventures, plus prior experience at ALTEN and the Erasmus for Young Entrepreneurs program. He combines startup-scouting experience with hands-on technical training (web development, Agile/Scrum).","Aevra (aevra.ai) is an early-stage, AI-powered software company for the dental industry, described on its homepage as automating treatment presentations and increasing case acceptance for dental practices. Its platform takes clinical notes and intraoral photos, suggests ADA/CDT procedure codes, generates AI 'after' treatment visualizations, computes cost/insurance estimates and runs a patient portal with an AI chatbot and automated follow-ups. It is HIPAA-ready with a SOC 2 roadmap and is currently in beta ('Coming Soon').","Aevra is building an end-to-end 'automation cycle' that guides dental patients from diagnosis to confirmed booking—boosting case acceptance and practice revenue—and integrates with practice-management (Dentrix, Eaglesoft, Open Dental, Curve), cloud platforms (Carestack, Planet DDS, Tab32) and AI imaging tools (Pearl, Overjet, VideaHealth). It targets modern dental clinics from single practices to multi-clinic groups, aiming for enterprise-grade compliance and fast (weeks-not-quarters) rollout.",https://www.aevra.ai,Unknown,,,,"No clear company named exactly 'Aevra' found; results matched similarly-named firms (Avrea, Aeva, Avenira) - likely ambiguous or very early-stage/stealth."
Miguel angel,Gonzalez,"Sales, Marketing and Comms Director",Quetta Data Centeta,Cloud Infrastructure & Data Centers,https://www.linkedin.com/in/miguel-angel-gonzalez-ezquerra-90b6471/,"Miguel Angel Gonzalez Ezquerra is the Sales, Marketing and Communications (Business Unit) Director at Quetta Data Centers, based in the Greater Madrid area. He is a commercial leader with more than 20 years of experience, including a background in FMCG, and studied at Universidad Pontificia Comillas. At Quetta he leads go-to-market and brand efforts as the company builds out its Iberian edge/AI data-center network.","Quetta Data Centers is a Spanish edge and AI data-center platform created by fund manager Azora in collaboration with Core Tech Capital, headquartered in Madrid. Its homepage frames the Iberian Peninsula as a strategic digital hub with abundant renewable energy and sub-60ms submarine-cable connectivity to five continents, and positions Quetta as a sustainable, proximity-based alternative to large hyperscale campuses. Its facilities are designed for AI workloads with advanced (closed-loop liquid / DLC) cooling, zero net water use and very low PUE.","Quetta is building a network of six eco-efficient edge data centers across Spain and Portugal (60 MW total, 500M-euro-plus investment), with flagship sites in Tres Cantos (Madrid, doubled to 20 MW) and Molins de Rei (Barcelona). It targets low-latency, high-density use cases—AI, IoT, gaming, streaming and autonomous driving—offering up to ~600kW per rack on direct liquid cooling, 100% renewable energy, WUE 0 and PUE below 1.15, serving both retail and hyperscale operators needing proximity capacity.",https://www.quetta.eu/en/,~$546.85M (>EUR500M platform commitment),"Unattributed, $546.85M, Feb 7 2024",Not disclosed,"Azora, Core Capital (Core Tech Capital)",Spanish edge/AI data center platform (Quetta Data Centers) launched 2024 by Azora with Core Capital; >EUR500M to build six Iberian data centers.
Nicholas,Rubens,Founder,Ancoran,Cloud Infrastructure & Data Centers,,"Nicholas Rubens is listed as the Founder of Ancoran, a company tagged in the cloud-infrastructure / data-center space. Public search returned no confirmed LinkedIn profile or biographical detail that can be reliably matched to this specific Nicholas Rubens, so his career background could not be verified. (Several unrelated 'Nicholas/Nicolas Rubens' profiles exist but none could be tied to Ancoran.)","No official website or verifiable company information could be found for Ancoran. Unrestricted web searches surfaced only unrelated results (a video-game character and a Galician verb form), suggesting Ancoran is a very early-stage, pre-launch or stealth company with no public web footprint at this time. Based on the conference data, it operates in the Cloud Infrastructure & Data Centers space.","Company goals could not be grounded in any public source. Given its Cloud Infrastructure & Data Centers classification, Ancoran is presumably building or providing cloud/data-center infrastructure, but no products, mission, target customers or use cases could be confirmed from available web sources.",,Unknown,,,,"No reliable funding data found for an entity named exactly 'Ancoran'; search returned unrelated companies (Ancora, Ankored, Anrok)."
Alex,Webb,Sales Director - New Business,Stellanor Datacenters,Cloud Infrastructure & Data Centers,https://www.linkedin.com/in/alexwebb4d,"Alex Webb is Sales Director for New Business at Stellanor Datacenters, where he drives commercial growth for the company's UK colocation portfolio. He joined Stellanor through its acquisition of Redcentric's data centre business, having previously worked on the sell-side of that deal at Redcentric. His background is in data centre and connectivity sales across the UK market.","Stellanor Datacenters is a UK-based, DWS-backed data centre operator launched in 2025 that delivers sustainable regional colocation services for enterprises, IT and managed cloud service providers, and public/government organisations. Per its homepage, it offers colocation, carrier-neutral connectivity, and migration/hybrid-cloud services from facilities running on 100% green energy with 24/7 support. It now operates around 10-12 sites across the UK (London, Cambridge, Gatwick, Reading, Woking, West Yorkshire and more) after acquiring eight data centres from Redcentric and earlier assets from Colt.","Stellanor is building a new generation of regional, edge-focused, AI-ready data centres positioned for proximity, performance, sustainability and accessibility. It aims to become the leading platform of regional data centres serving national and international enterprises and service providers needing wholesale and AI inference capacity, with planned expansion across the UK and the Nordics. Its customers are enterprises, cloud/managed service providers, academic institutions and public-sector bodies who choose their own connectivity providers and value sovereign, green, low-latency infrastructure.",https://www.stellanordatacenters.com/,"Backed by DWS (institutional, amount not disclosed)","Acquisition financing (8 data centres from Redcentric), up to GBP127M enterprise value, completed May 2026",,DWS Group (infrastructure fund),"Not a VC-funded startup; UK urban data centre platform launched 2025, capitalized via DWS-managed infrastructure fund; grew 2 to 11 sites via acquisitions."
Jianhe,Liao,Principal AI Advisor,Bitdeer Inc.,Cloud Infrastructure & Data Centers,,"Jianhe Liao serves as Principal AI Advisor at Bitdeer, advising on the company's expansion into AI cloud and high-performance computing. The role sits within Bitdeer's AI organization, which spans its AI Cloud business and frontier Bitdeer AI Lab. (No definitive public LinkedIn profile was confirmed; this individual is distinct from Bitdeer's departing CFO Jianchun Liu.)","Bitdeer Technologies Group (NASDAQ: BTDR) is a Singapore-headquartered, vertically integrated technology company for Bitcoin mining and AI/high-performance computing. Per its homepage, it spans the full value chain: in-house IC design and SEALMINER mining-rig manufacturing, data center construction and operations, cloud mining, and a fully integrated AI cloud. Its AI cloud is powered by thousands of NVIDIA GPUs (GB200 NVL72, B200, H200/H100, and upcoming GB300/B300) delivering compute for model training, inference and scaling.","Bitdeer is building out a global AI infrastructure footprint, expanding from Southeast Asia into the US and Norway, while continuing to scale its self-mining hashrate and SEALMINER hardware sales. It is increasingly converting and repurposing its roughly 3 GW global power capacity (US, Norway, Bhutan, Canada, Malaysia, Ethiopia) toward AI cloud and colocation workloads. It serves Bitcoin miners (retail and institutional), hosting customers, and AI/ML developers needing turnkey GPU compute, positioning compute, energy and chip design as one integrated platform for the AI era.",https://www.bitdeer.com/,Public company,"$400M convertible notes + $149M equity offering, Nov 2025",,"Tether (~25% stake, $100M+), Cantor Fitzgerald","Nasdaq-listed (BTDR) Bitcoin mining/HPC firm; went public via 2023 SPAC; funds growth via convertible note raises ($150M 2024, $360M 2024, $330M Jun 2025) plus Tether placement."
Stephen,Smith,Director,vCluster,Cloud Infrastructure & Data Centers,,"Stephen Smith is a Director at vCluster (vCluster Labs, formerly Loft Labs), the company behind the open-source vCluster virtual Kubernetes project. In a director-level commercial/go-to-market capacity he supports the company's enterprise and AI-cloud customers adopting virtual Kubernetes clusters. (No single confirmed public LinkedIn profile was isolated for this exact individual.)","vCluster (vCluster Labs / Loft Labs, San Francisco) builds the open-source vCluster technology that lets engineers spin up fully functional, isolated virtual Kubernetes clusters that run inside a namespace of an underlying cluster or on dedicated/bare-metal infrastructure. Per its homepage, each tenant gets its own API server, CRDs and RBAC with a cluster experience indistinguishable from a dedicated Kubernetes cluster, virtualizing the control plane for strong multi-tenant isolation. The project is a CNCF-certified Kubernetes distribution with tens of millions of virtual clusters created and adoption by NVIDIA, Adobe, CoreWeave, JPMorganChase and 50+ GPU clouds.","vCluster aims to give every tenant their own isolated Kubernetes cluster and let operators run Kubernetes 'like a hyperscaler,' targeting AI cloud providers, enterprise AI factories, sovereign clouds, and multi-cloud platform teams. It is building out related products (vNode for runtime isolation, vMetal to turn GPU racks into a cloud platform, managed Slurm) to provide a complete foundation for production AI infrastructure and 100K-GPU superclusters. Core use cases include per-customer tenant clusters for software vendors, isolated GPU environments per ML team, cost consolidation/sleep mode, and hybrid Kubernetes standardization across EKS/GKE/AKS and bare metal.",https://www.vcluster.com/,$28.6M,"Series A $24M, Apr 2024",,"Khosla Ventures, Fusion Fund, Surface Ventures, Emergent Ventures, Berkeley SkyDeck Fund",Operated by Loft Labs; creators of open-source virtual Kubernetes clusters (vCluster).
Jonathan,Taylor,"Associate Director, Commercial",IREN,Cloud Infrastructure & Data Centers,https://www.linkedin.com/in/jonathanbentleytaylor/,"Jonathan Taylor is Associate Director, Commercial at IREN, based in the San Francisco Bay Area, where he works on the commercial side of the company's vertically integrated AI Cloud and data center business. He recently joined IREN after an 11-year career at Kearney, with earlier experience at McKinsey & Company and Gap Inc., and holds an MBA from Stanford Graduate School of Business. He describes himself as a seasoned executive in energy, infrastructure and emerging technology.","IREN Limited (NASDAQ: IREN; formerly Iris Energy, founded 2018, Sydney) operates next-generation, 100% renewable-powered data centers purpose-built for AI, high-performance computing and Bitcoin mining. Per its homepage, it owns and operates its electrical infrastructure and facilities end-to-end, offering AI Cloud (GPU clusters on NVIDIA reference architecture), colocation and build-to-suit infrastructure. It runs six North American sites (British Columbia and Texas, plus Oklahoma in development) with about 810 MW operational and ~5 GW of power secured.","IREN is rapidly transforming from a Bitcoin miner into a major AI data center player, building grid-connected, power-dense, renewable-powered capacity and scaling its GPU fleet (expanding toward 150,000 GPUs with NVIDIA B300 systems) under major contracts including Nvidia and Microsoft. It is expanding aggressively, including the 2,000 MW Sweetwater (Texas) and Oklahoma campuses and international moves such as Spain (Nostrum) and Australia (Bundey). It serves AI labs and enterprises needing fast, scalable GPU compute, plus customers wanting turnkey data centers or build-to-suit AI-ready facilities, differentiating on vertical integration and construction discipline.",https://iren.com/,Public company (~$9.7B raised incl. equity/debt),NASDAQ-listed (IPO Nov 2021); ongoing ATM/equity & GPU financing,"Public; market cap ~$2.5B (Dec 2024), higher in 2025-26",Public/institutional investors; NYDIG (equipment financing),Formerly Iris Energy; NASDAQ:IREN Bitcoin miner pivoting to AI cloud; FY2025 revenue $501M; $9.7B Microsoft AI cloud contract.
Guillaume,Levy,COO,Antemeta,Artificial Intelligence & Machine Learning,https://www.linkedin.com/in/guillaume-l%C3%A9vy-51a5116a/,"Guillaume Levy is Chief Operating Officer (Directeur des operations) at AntemetA, based in the greater Paris region, where he leads operations for the French cloud and IT services group. He joined AntemetA after about seven years at OVHcloud and earlier involvement with Time for the Planet, and holds an MBA from the Conservatoire National des Arts et Metiers. He is publicly active around AntemetA's sovereign-cloud and cyber-resilience messaging (data hosted exclusively in France, DORA/NIS2/GDPR compliance).","AntemetA is a French private managed cloud and on-premises IT services provider, founded in 1995 and headquartered in Guyancourt, France, with operations in France and Morocco. Per its homepage, it organizes its expertise around five pillars: network, infrastructure, cybersecurity, data management, and platforms & solutions (including SAP). It runs ISO 27001 / HDS / ISAE 3402-certified data centers in France and is recognized by Gartner as a representative vendor for managed Backup-as-a-Service, serving clients such as Alten, Engie IT, Wolters Kluwer and Groupe Beaumanoir.","AntemetA is building out sovereign, secure French cloud offerings centered on data protection, cyber-resilience and disaster recovery, with a focus on regulatory compliance (GDPR, NIS2, DORA, CRA) and data hosted exclusively in France. It delivers managed services such as Backup-as-a-Service, mutualized SOC, automated/disaster-recovery cloud (e.g. on HPE GreenLake) and SAP-as-a-Service, increasingly augmented with AI for threat detection. Its target customers are mid-to-large French and European enterprises and public institutions seeking proximity, sovereignty, security and outsourced management of critical IT infrastructure.",https://www.antemeta.fr/,Not disclosed,,,,Established French IT infrastructure/cloud SME founded 1995 (~300 employees); privately held with no disclosed venture funding.
