first_name,last_name,company_title,company_name,funding_tier,linkedin_url,person_info,homepage_url,company_info,company_goals,total_funding,latest_round,key_investors
Burak,Kilic,,UPS,Public,,"No LinkedIn profile found for Burak Kilic at UPS. Multiple profiles exist for individuals with similar names, but none indicate employment at UPS.",https://www.ups.com,"UPS is the world's premier package delivery company and a leading provider of global supply chain management solutions, operating in more than 200 countries and territories.","UPS focuses on making credible, purposeful changes to achieve sustainability goals, helping build stronger communities and a healthier environment. It leverages its global network of UPSers to have impact in a changing world, serving customers of all sizes through logistics, distribution, transportation, and supply chain solutions.",Public company,,
Mickael,Mina,,Sage,Tier 3,,,,,,Unknown,,
Franck,Greverie,,Capgemini Group,Public,https://www.linkedin.com/in/franck-greverie,"Franck Greverie is the Chief Technology & Portfolio Officer and a Group Executive Board Member at Capgemini Group. He oversees the portfolio of offers, product management, innovation labs, and six global business lines including data & AI, business services, and cloud applications. He joined Capgemini in 2015 and has held leadership roles in cybersecurity and cloud services.",https://www.capgemini.com,"Capgemini is a global leader in consulting, technology services, and digital transformation. Founded in 1967 and headquartered in Paris, France, it serves clients worldwide by leveraging technology to enable business transformation. The company operates across various sectors including cloud, data, AI, software, and digital engineering.","Capgemini aims to help organizations transform and manage their business by harnessing AI, technology, and people. It focuses on delivering tangible business value through innovation, intelligent operations, and large-scale AI transformation projects. The company serves a broad range of industries and partners with clients to drive digital and operational transformation globally.",Public company,"Latest funding round was a Grant (prize money) round on Jan 01, 2023 for $249K","General Atlantic, Ministry of Economy, Finance and Industrial and Digital Sovereignty, Europa, and others"
Doris,Birkhofer,,Siemens France,Public,https://www.linkedin.com/in/doris-birkhofer,"Doris Birkhofer is the President of Siemens France. She also holds the position of CEO of Siemens Smart Infrastructure France & BeLux. She has a strong leadership role focused on strengthening Siemens' position in Industry 4.0 and infrastructure in France, addressing industrial competitiveness and energy transition challenges.",https://www.siemens.com/fr-fr/,"Siemens France operates in intelligent infrastructure for buildings, decentralized energy production, automation, and digitalization in manufacturing and process industries. It is part of Siemens, a global technology leader driving innovation in industry, infrastructure, and mobility through digital transformation.","Siemens France aims to strengthen its leadership in Industry 4.0 and infrastructure to meet industrial competitiveness and energy transition challenges. It serves various sectors including industry, energy, healthcare, and infrastructure, providing smart and sustainable technological solutions to transform these foundational economic sectors.",Public company,,
Gregory,Boutte,,Gucci,Public,https://www.linkedin.com/in/gr%C3%A9gory-boutt%C3%A9-375210,"Grégory Boutté is the Chief Digital Officer at Gucci since September 2024, holding a C-level management position and acting as a decision maker. He is involved in driving digital innovation and client experience within the luxury fashion house.",https://www.gucci.com,"Gucci is an Italian luxury fashion house founded in Florence in 1921, known for its high-end products including ready-to-wear, footwear, accessories, handbags, and home decoration. It is part of the global luxury group Kering and is recognized for its creativity, Italian craftsmanship, and innovation.","Gucci aims to redefine luxury by celebrating creativity, craftsmanship, and innovation while serving a global clientele seeking luxury fashion and lifestyle products. The company focuses on enhancing client experience through digital innovation and sustainability initiatives, targeting diverse luxury consumers worldwide.",Public company (part of Kering),,"Kering, controlled by Francois Pinault"
Julia,Mason,,SNCF Connect & Tech,Tier 3,,,,,,Unknown,,
Nisha,Gheewalla,,Microsoft,Established,,No LinkedIn profile or career background for Nisha Gheewalla at Microsoft was found in the provided information.,https://www.microsoft.com,"Microsoft Corporation is a global technology company founded in 1975 by Bill Gates and Paul Allen, known for its software products such as the Windows operating system and the Office suite, as well as cloud computing services through Microsoft Azure.","Microsoft is building and working toward leadership in cloud computing and artificial intelligence, with Azure growing significantly and AI revenue reaching $13 billion. The company serves businesses of all sizes, from small and mid-market companies to large enterprises, including IT professionals, business analysts, project managers, and C-level decision-makers across various industries.",Public company,,
Vishal,Talwar,,FedEx,Public,,No specific information about Vishal Talwar's LinkedIn profile or career background at FedEx is available in the provided data.,https://www.fedex.com/en-us/home.html,"FedEx Corporation is a global leader in transportation, e-commerce, and business services, headquartered in Memphis, Tennessee. It offers a broad portfolio of transportation, e-commerce, and business services through various operating companies under the FedEx brand, including express shipping, ground services, freight, and logistics solutions.","FedEx is working toward integrating its pickup and delivery networks to improve speed and service quality, aiming to provide high-value logistics, transportation, and related end-to-end business services through a fully integrated digital and physical network. It serves customers and businesses worldwide, focusing on safety, ethical standards, and customer satisfaction across multiple market segments.",Public company,Post-IPO Debt round (date obfuscated),"Bank of America, JP Morgan Chase"
Lale,Kof,,Clariant,Public,https://www.linkedin.com/in/lale-kof,"Lale Kof is a technology leader at Clariant, where she has been instrumental in driving digital transformation and AI adoption. She is known for her role in implementing Clarita, Clariant's generative AI tool, and for supporting innovation initiatives across the company.",https://www.clariant.com,"Clariant is a Swiss multinational specialty chemical company, formed in 1995 as a spin-off from Sandoz. It operates through three business units: Care Chemicals, Catalysts, and Adsorbents & Additives, providing solutions for industries including consumer care, energy, chemicals, and plastics.","Clariant is building and working toward a sustainable future with its purpose 'Greater chemistry – between people and planet.' It develops innovative, eco-friendly chemical solutions to support sustainability in industries such as energy transition, health, and circular economy, serving customers globally.",Public company,,
Jean-Michel,Garcia,,BNP Paribas,Public,,No specific information available about Jean-Michel Garcia's LinkedIn profile or career background at BNP Paribas in the provided data.,https://group.bnpparibas/en/,"BNP Paribas is a French multinational universal bank and financial services holding company headquartered in Paris. It operates in three major business areas: Commercial, Personal Banking & Services; Investment & Protection Services; and Corporate & Institutional Banking. The bank serves individuals, associations, entrepreneurs, SMEs, large corporates, and institutional clients globally with a presence in 64 countries and over 180,000 employees.","BNP Paribas aims to be a leader in sustainable finance, supporting customers in transitioning towards a low-carbon economy and a more inclusive society. It provides financing, investment, savings, and protection services to a broad range of clients, helping them achieve growth and development projects while promoting sustainability and innovation.",Public company,,
Greg,Ombach,,Airbus,Public,,No specific information about Greg Ombach's LinkedIn profile or career background at Airbus is available in the provided data.,https://www.airbus.com/en,"Airbus is Europe's largest aeronautics and space company, designing, manufacturing, and delivering commercial aircraft, helicopters, military transports, satellites, and launchers. It operates globally with over 180 sites and serves commercial airlines, governments, and defense sectors.","Airbus aims to pioneer sustainable aerospace for a safe and united world by offering aircraft and services that meet customer needs while leading commercial aviation towards greater sustainability and safety. It focuses on innovation, sustainability, and global connectivity, targeting net-zero emissions by 2050 and serving airlines, lessors, governments, and science bodies worldwide.",Public company,"Latest funding was a Grant (prize money) round on Oct 01, 2023, with participation from 1 investor.",Not applicable as Airbus is a public company.
Chantz,Strong,,Canadian Medical Protective Association,Government,https://www.linkedin.com/in/chantz-strong,"Chantz Strong is the Executive Director of Technology and Analytics and Chief Privacy Officer at the Canadian Medical Protective Association (CMPA). He has over 20 years of experience leading transformative projects in data and technology, with a background including senior roles in the Government of Canada, startups, and consulting. He holds an MSc from MIT and a BSc from McGill University.",https://www.cmpa-acpm.ca/en/home,"The Canadian Medical Protective Association (CMPA) is a national mutual defense organization that provides medico-legal support and resources to Canadian physicians. It focuses on protecting the professional integrity of physicians, promoting safe medical care, and assisting with medico-legal issues. CMPA also conducts research and provides education to enhance patient safety.","CMPA is building and working toward empowering better healthcare by providing compassionate medico-legal advice and assistance, data-informed learning and research to enhance patient safety, and proactive strategies to adapt to the changing healthcare environment. It serves over 109,000 Canadian physician members and aims to support physicians, patients, and the healthcare system in Canada.",Government body (mutual defense association with approximately $3 billion in resources),,
Maxime,Havez,,Crédit Mutuel Arkéa,Public,https://www.linkedin.com/in/maximehavez,"Maxime Havez is the Chief Data Officer at Crédit Mutuel Arkéa. He has over 10 years of experience in data strategy, AI, and innovation, leading data and AI initiatives, managing the data platform roadmap, and driving responsible data and AI practices within the group.",https://www.cm-arkea.com/arkea/banque/assurances/j_6/fr/accueil,"Crédit Mutuel Arkéa is a French cooperative banking and insurance group composed of the Crédit Mutuel de Bretagne, Crédit Mutuel du Sud-Ouest federations, and around forty specialized subsidiaries. It offers a wide range of banking, insurance, and financial services to individuals, businesses, and institutions, with a strong regional presence and cooperative model.","Crédit Mutuel Arkéa aims to be a mission-driven bank practicing finance that serves territories and their actors, positioning itself as an agile and innovative financial partner for future transitions. It focuses on combining financial and extra-financial performance, supporting local development, and advancing responsible finance and innovation for its more than 5 million customers and members.",Public company,"Debt financing round, US$114K, December 22, 2018",
Gualtiero,Bazzana,,Alten,Public,,"Gualtiero Bazzana is associated with Alten, but specific details about his exact role and career background are not provided in the available search results.",https://www.alten.com/,"Alten is a French multinational technology consulting and engineering company founded in 1988. It carries out design, research, and technical projects for the technical and information systems divisions of major customers in the industrial, telecommunications, and service sectors.","Alten is building tomorrow's world today by supporting the development strategy of its customers in the fields of innovation, R&D, and technological information systems. It serves major players in diverse industries including aeronautics, space, defense, automotive, energy, life sciences, banking, and telecommunications.",Public company,,
Jordi,Garcia Bosch,,BBVA,Public,,No specific information about Jordi Garcia Bosch's LinkedIn profile or detailed career background at BBVA is available in the provided data.,https://www.bbva.com/en/,"BBVA is a global financial group headquartered in Spain, with a strong presence in Mexico, South America, and Turkey. It is characterized by its pioneering strategy in digitalization, innovation, and sustainability, serving over 81 million active customers with a customer-centric vision.","BBVA is building toward a future focused on digital transformation, sustainability, and innovation. It aims to support customers in their transition to a more sustainable economy, promote financial inclusion, and provide personalized digital banking solutions. The bank serves individuals, businesses, and institutions across multiple countries, emphasizing decarbonization and sustainable finance.",Public company,"Latest funding round was a Grant (prize money) round on Feb 01, 2019; amount undisclosed",Not applicable as BBVA is a public company
Benjamin,Roy,,Capital Fund Management,Investor,https://www.linkedin.com/in/benjamin-roy-a966,"Benjamin Roy is the Chief Technology Officer at Capital Fund Management (CFM), a role he began in October 2022. He previously served as Head of Global Markets Technology and Operations Americas at Société Générale, and has extensive experience in the financial services industry across London and New York.",https://www.cfm.com,"Capital Fund Management (CFM) is a global quantitative and systematic asset management firm based in Paris, with staff in New York City and London. It applies a scientific approach to finance, using quantitative and systematic techniques to develop alternative investment strategies for institutional investors and financial advisers.","CFM is building and working toward advancing its technological platform and global positioning as a leader in quantitative investment strategies. It serves institutional investors and financial advisers with its alternative investment strategies, including systematic trading, alternative beta, and data-driven approaches.",Unknown,,
Patrick,Miceli,,NBC,Public,,No specific information about Patrick Miceli at NBC is available in the provided data.,https://www.nbc.com/,"NBC (National Broadcasting Company) is an American commercial broadcast television and radio network, serving as the flagship property of NBC Entertainment, a division of NBCUniversal, which is a subsidiary of Comcast. It is one of the oldest major broadcast networks in the United States, headquartered in New York City at Rockefeller Center's Comcast Building. NBC produces and broadcasts a wide range of television programming including news, entertainment, and sports.","NBC is focused on developing, producing, and marketing entertainment, news, and information to a global audience. It serves viewers with a variety of content including news programs, sports, and entertainment shows, aiming to engage and inform audiences across multiple platforms. NBCUniversal, the parent company, also emphasizes social impact initiatives and community engagement through its media and entertainment platforms.",Public company (subsidiary of Comcast),,Comcast
Cecile,Lejeune,,Kantar France,Tier 3,,"Cecile Lejeune serves as a key leader at Kantar France, which is part of the global Kantar network. However, specific details regarding her individual career background and LinkedIn profile are not available in the provided sources.",https://www.kantar.com/fr,"Kantar France is a leading global data, insights, and consulting agency. It specializes in market and opinion research, media analysis, and consumer behavior tracking to help brands make informed decisions.","The company is building advanced data analytics platforms, AI-driven ad testing solutions, and continuous consumer panels to decode shopper behavior. It serves a wide range of clients, including commercial brands, agencies, governments, and public sector organizations, working toward inspiring brand growth and a deeper understanding of people.",Unknown,,
Chaouki,Kasmi,,Technology Innovation Institute,Government,https://www.linkedin.com/in/kasmichaouki,"Dr. Chaouki Kasmi is the Chief Innovation Officer at the Technology Innovation Institute (TII) and has also served as the President of the Technologies and Industrialisation Cluster at EDGE. He previously worked as the Chief Researcher of the Directed Energy Research Center at TII, Director of the Mobile and Telecommunication Lab at DarkMatter, and Deputy Head of the Wireless Security Lab at the French National Cybersecurity Agency (ANSSI).",https://www.tii.ae/,"The Technology Innovation Institute (TII) is an Abu Dhabi government-funded research institution that operates as the applied research pillar of the Advanced Technology Research Council (ATRC). It focuses on advanced scientific research across multiple domains, including artificial intelligence, quantum computing, autonomous robotics, cryptography, advanced materials, digital science, directed energy, secure systems, and biotechnology.","TII is building transformative technologies and open-source foundational models, such as the Falcon LLM series, to solve society's greatest challenges and establish the UAE as a global R&D hub. It works toward delivering discovery science and practical applications to serve government entities, industry stakeholders, and the academic community.",Government body,,Abu Dhabi Government
Samir,Cairae,,Titan Cement Group,Public,https://www.linkedin.com/in/samir-cairae,Samir Cairae is the Chief Technology Officer of the Titan Cement Group. He is a board member of Titan Cement and has previously served on the board of the European Cement Research Academy.,https://www.titan-cement.com,"Titan Cement Group is a multinational producer of cement, aggregates, ready-mixed concrete, and dry mortars. The company operates in 13 countries with over 5,000 employees and has a strong focus on sustainability and innovation.","Titan Cement is working toward net-zero emissions through large-scale carbon capture projects like IFESTOS, which aims to produce 3 million tons of zero-carbon cement annually. The company serves construction and infrastructure markets globally, including in Greece, Turkey, the USA, and other regions.",Public company,,
Hervé,Brucker,,Carrefour Banque & Assurance,Public,https://www.linkedin.com/in/herve-brucker,"Hervé Brucker is the Group & France Chief Marketing & Customer Officer at Carrefour Banque & Assurance since October 2024. He is a member of the Executive Committee, managing a team of 70 people and overseeing product marketing, growth marketing, communication, CRM, customer experience, digital, e-commerce, remote sales, call center, and after-sales service. Previously, he was Chief Marketing, Communications and Customer Experience Officer at Orange Bank.",https://carrefour-banque.fr,"Carrefour Banque & Assurance is a subsidiary of the Carrefour Group offering a wide range of financial products including credit, savings, insurance, and payment cards for over 30 years. It serves around 2 million customers with multichannel services such as telephone, agencies, and remote sales, supported by a team of over 700 employees.","The company aims to provide tailored financial solutions adapted to customers' situations, needs, and budgets. It focuses on innovation, customer experience, and multichannel accessibility, offering products from credit to insurance. Carrefour Banque & Assurance serves individual customers primarily in France, supporting their financial projects with a strong human and digital approach.",Public company (subsidiary of Carrefour Group),,"Carrefour Group, BNP Paribas Personal Finance"
Jeremie,Profeta,,Sonepar,Tier 3,https://www.linkedin.com/in/jeremieprofeta,"Jeremie Profeta is the Chief Transformation Officer and Executive Committee Member at Sonepar, a C-Level executive responsible for leading the company's digital transformation into a world-class Digital Enterprise organization, including the development of Spark, the global digital platform, and overseeing digital supply chain, AI integration, and omnichannel experiences.",https://www.sonepar.com,"Sonepar is an independent, family-owned company that is the global market leader in B2B distribution of electrical products, solutions, and related services, operating in 40 countries with 46,000 associates and serving over 1 million B2B customers worldwide.","Sonepar is building and leveraging its Global Sonepar Ecosystem of Group Platforms, including Spark, its synchronized omnichannel platform powered by Microsoft Azure and Dynamics 365, to deliver a seamless, personalized customer experience across all channels. The company is working toward becoming the first global B2B electrical distributor to offer the best omnichannel experience, while promoting sustainable solutions and accelerating the energy transition.",Unknown,,
Susan,Doniz,,Walt Disney,Public,,,https://thewaltdisneycompany.com/,"The Walt Disney Company is a worldwide entertainment company that includes iconic brands and three core business segments: Entertainment, ESPN, and Experiences. It is the world's premier entertainment company that entertains, informs, and inspires people around the globe through the power of unparalleled storytelling.","Disney is building for the future with a strategic overhaul to restore creativity to its businesses and establish a more efficient, cost-effective approach to operations. It is working toward delivering meaningful growth and shareholder value well into the future, with a focus on narrative-driven content across film, parks, streaming, and gaming, serving audiences worldwide including children, families, and adults.",Public company,,
Florian,Lagardere,,Allianz France,Public,https://www.linkedin.com/in/florian-lagardere-02b43528,"Florian Lagardere is the Head of Big Data & AI team at Allianz France, a role he has held since May 2021. He holds a Master's degree in Banking, Corporate, Finance, and Securities Law from OMNES Education.",https://www.allianz.fr/,"Allianz France is a leading insurance company in France, offering a wide range of insurance policies for both individuals and corporations, including life, health, property/casualty, and automobile insurance.","Allianz France is focused on leveraging technology and innovation, including AI and big data, to enhance risk assessment and prevention. It serves its clients by providing tailored insurance solutions, supporting its agents, and contributing to climate resilience through initiatives like its first brochure dedicated to flood risk prevention.",Public company,,
Matthew,Drooker,,The Weather Company,Government,https://www.linkedin.com/in/matthew-drooker,"Matthew Drooker is the Chief Technology Officer at The Weather Company. He leads the company's technology strategy and infrastructure, enabling innovative weather solutions across consumer and enterprise platforms. Previously, he was CTO at SoundCloud and held senior technology leadership roles at Warner Media/Turner Broadcasting, including CTO of CNN.",https://www.weathercompany.com/,"The Weather Company is a weather forecasting and information technology company that owns and operates the Weather Channel app, weather.com, and Weather Underground. It provides highly accurate weather data, insights, and analytics to consumers and enterprises across industries such as media, advertising, aviation, and government.","The Weather Company aims to help people and businesses make more informed decisions and take action in the face of weather by combining human meteorological expertise with advanced technology and AI. It focuses on building efficient digital foundations, extending forecasting capabilities, and designing platforms for world-class customer experiences, serving hundreds of millions of users and hundreds of enterprise customers globally.","The Weather Company was previously owned by a consortium including NBC Universal, The Blackstone Group, and Bain Capital, which sold its product and technology assets to IBM in 2016. It is currently a private company with no recent funding rounds reported.",,"NBC Universal, The Blackstone Group, Bain Capital"
Jérôme,Gueydan,,Orange,Public,,,https://www.orange.com/en,"Orange S.A. is a French multinational telecommunications corporation that operates as a leading network and digital integrator. The company provides mobile, fixed-line, internet, and television services, alongside digital transformation, cloud, and cybersecurity solutions.","Orange is building a responsible digital world by providing always-available connectivity, 5G, and fiber-to-the-home rollouts, alongside advanced data and AI services. It serves over 280 million customers worldwide, including individuals, businesses, public institutions, and entire communities.",Public company,,
Alexandre,Franc,,Carrefour,Tier 2,,No LinkedIn profile or career background information for Alexandre Franc was found in the provided results.,https://www.carrefour.com,"Carrefour Group, S.A. is a French multinational retail and wholesaling corporation headquartered in Massy, France. It operates a chain of hypermarkets, grocery stores, and convenience stores.","Carrefour is reinventing its business through a global transformation programme focused on sustainable food and packaging, organic products, and e-commerce partnerships. The company serves over 14,000 customers across 40 countries through its hypermarkets, supermarkets, and local store formats.",Public company,,
Katrin,Lehman,,Mercedes Benz,Tier 3,,,https://group.mercedes-benz.com/en/,"Mercedes-Benz Group AG, formerly known as Daimler AG, is a German automotive manufacturer headquartered in Stuttgart, Germany. It is one of the leading global suppliers of high-end passenger cars and premium vans, with brands including Mercedes-Benz, Mercedes-AMG, and Mercedes-Maybach.","The company aims to build the world's most desirable cars, focusing on technological superiority, performance, and emotional connection with customers. It is advancing its transition to sustainable luxury and digital innovation, including electric vehicles, autonomous driving, and Mobility-as-a-Service (MaaS) platforms, serving global luxury consumers and commercial vehicle markets.",Unknown,,
Sushma,Punuru,,Global Payments,Public,https://www.linkedin.com/in/sushma-punuru-b3b6051,"Sushma Punuru is the Chief Data Officer at Global Payments, leading the company's data and AI strategy, engineering execution, and responsible governance. She has over 20 years of experience in enterprise digital transformation and previously held senior roles at MetLife and PwC in financial services consulting.",https://www.globalpayments.com/,"Global Payments is a leading payments technology company that delivers innovative software and services to merchant and issuer customers globally. It provides payment processing solutions, software, and systems that support businesses of all sizes in accepting payments and managing commerce.","Global Payments is building a complete commerce platform that enables faster payments, smoother operations, and exceptional customer experiences. It serves a wide range of customers including small businesses, enterprises, and various sectors worldwide, aiming to be the worldwide partner of choice for commerce solutions.",Public company,"Post-IPO Debt round raised on February 20, 2024",Not applicable (public company)
Emmanuel,Frenehard,,Sanofi,Tier 0,,,https://www.sanofi.com/en,"Sanofi is a French multinational pharmaceutical and healthcare company headquartered in Paris, established in 1973. It discovers, develops, manufactures, and markets an array of medicines and vaccines, with a focus on immunology, neurology, oncology, and vaccines.","Sanofi is on a mission to go further, faster for patients, leveraging breakthrough science and AI to improve lives through innovative medicines and vaccines. It aims to build a healthier, more resilient world by addressing urgent healthcare, environmental, and societal challenges, serving patients and communities globally.",Unknown,,
Xavier,Jeulin,,Veolia,Public,https://www.linkedin.com/in/xavier-jeulin-5907154,"Xavier Jeulin is Head of Data & AI at Veolia Eau France, a Director-level role where he leverages his passion for technology to build digital and data solutions that create business value. He focuses on developing innovative, high-value services and products.",https://www.veolia.com,"Veolia is a French transnational company providing environmental management services in three main areas: water management, waste management, and energy services. It operates in 56 countries with 215,000 employees and serves public authorities, industrial and commercial clients.","Veolia aims to be the benchmark company for ecological transformation by designing and providing game-changing solutions in water, waste, and energy management. The company helps its clients, including municipalities, industries, and individuals, achieve sustainable development by managing their environmental impact.",Public company,,
Venkat,Pullela,,Keysight,Public,https://www.linkedin.com/in/venkatpullela/,"Venkat Pullela is the Chief of Technology, Networking at Keysight Technologies. He previously worked at Cisco, where he played a critical role in establishing and building the first software test and development team in Bangalore for the Catalyst 6500 product line.",https://www.keysight.com,"Keysight Technologies is a global company that manufactures hardware and software for engineering workflows across design, test, and emulation. It delivers market-leading electronic design and test solutions to help engineers develop and deploy products faster and with less risk.","Keysight is building advanced design, emulation, and test solutions to accelerate breakthrough technologies to market and shape the future of next-generation technologies like 6G and Ultra Ethernet. It serves a wide range of industries including communications, aerospace and defense, automotive, energy, semiconductor, and general electronics.",Public company,Post-IPO Debt,"Department for Science, Innovation and Technology (DSIT)"
Boris,Dorado,,KPMG,Tier 3,https://www.linkedin.com/in/boris-dorado,"Boris Dorado is the Head of Data & AI at KPMG France, starting in January 2025. In this role, he is responsible for creating a comprehensive data governance framework, overseeing the deployment of a modern data platform, and leading the Data & Analytics and AI Lab teams. He also has experience as the Head of the Data Business Unit at Klee Group.",https://kpmg.com,"KPMG is a global network of independent professional services firms providing audit, tax, and advisory services. It is one of the Big Four accounting firms, operating in over 140 countries with hundreds of thousands of partners and employees worldwide.","KPMG is building a future-focused organization by enhancing agility, connectivity, and investing in technology and talent to provide trusted advice and innovative solutions. It serves business corporations, governments, public sector agencies, and not-for-profit organizations, advising them on issues such as climate change, technology, and economic growth.",Unknown,"Other Investors round, Capital Readiness Program",Capital Readiness Program
Sunjay,Pandey,,BP,Public,,,https://www.bp.com/,"BP is a global energy company providing oil, gas, and renewable energy solutions, alongside refining, trading, and shipping services worldwide. It operates across multiple segments in the energy sector, including upstream exploration and production of oil and natural gas, and downstream refining, trading, and retailing of energy products.","BP is working to deliver energy to the world today and tomorrow through a dual focus: growing its upstream oil and gas production while investing in low-carbon energy businesses like solar, wind, and hydrogen. The company aims to become a net-zero company by 2050 or sooner, serving customers worldwide including consumers, businesses, and governments with energy products and services.",Public company,,
