first_name,last_name,company_title,company_name,funding_tier,linkedin_url,person_info,homepage_url,company_info,company_goals,total_funding,latest_round,key_investors
Abel,Samot,Founding Partner,>commit,Investor,https://www.linkedin.com/in/abel-samot,Abel Samot is a professional based in Paris with a background in technology and software development. He is engaged in the developer community and has experience with open source projects and virtualization technologies. He is noted as a Founding Partner at >commit.,https://commit.fund/,">commit is an early-stage venture capital fund focused on backing commercial open-source startups. It is part of the Red River West family and operates transatlantically, investing in early-stage open source, AI, and infrastructure companies.",">commit aims to support and invest in commercial open source startups at pre-seed and seed stages. The fund works toward fostering innovation in open source software and infrastructure, serving entrepreneurs and startups developing cutting-edge technology solutions.",Unknown,,
Arjun,Kharpal,Senior Technology Correspondent,CNBC,Public,https://www.linkedin.com/in/arjunkharpal,"Arjun Kharpal is CNBC’s Senior Technology Correspondent, based in London. Since joining CNBC in 2013, he has reported from across the world’s major innovation hubs, interviewing leaders from the world’s biggest technology companies and covering trends shaping the digital future.",https://www.cnbc.com,"CNBC is the recognized global leader in business and financial news, reaching half a billion people every month across all platforms. It provides real-time financial market coverage, business information, and in-depth reports on the forces shaping the global economy.","CNBC connects with audiences through a comprehensive portfolio that includes live global TV programming, digital destinations like CNBC.com, and subscription services like CNBC Pro. It serves business leaders, the financial community, and anyone with assets to invest or protect by helping them make informed decisions.",Public company,,
Yann,LeCun,Chairman,AMI,Tier 0,https://www.linkedin.com/in/yann-lecun,"Yann LeCun is a French-American computer scientist, former Chief AI Scientist at Meta Platforms, and a 2018 Turing Award winner. He founded Advanced Machine Intelligence Labs (AMI Labs) in December 2025 after leaving Meta, where he led the Facebook AI Research (FAIR) lab for over a decade.",https://amilabs.xyz/,"AMI Labs is a Paris-based artificial intelligence research laboratory focused on developing world model AI systems that understand the physical world, maintain long-term memory, and can reason and plan.","AMI Labs aims to build a new breed of AI systems that understand the real world, have persistent memory, can reason and plan, and are controllable and safe. The company targets organizations operating complex systems such as manufacturers, automakers, aerospace companies, and biomedical firms, with long-term ambitions to become the main provider of intelligent systems across various industries.",$1.03 billion,"Seed round: $1.03 billion at $3.5 billion pre-money valuation, March 10, 2026","Cathay Innovation, Greycroft, Hiro Capital, HV Capital, Bezos Expeditions, NVIDIA, Samsung, Toyota Ventures, Temasek, Mark Cuban, Eric Schmidt, Tim Berners-Lee, Jim Breyer"
Andrew,Dieckman,"CVP & GM, Data Center GPU",AMD,Public,https://www.linkedin.com/in/andrewdieckmann/,"Andrew Dieckmann is the Corporate Vice President and General Manager of the Data Center GPU Business Unit at AMD, responsible for product management, product marketing, business development, and overall financials of the business unit. He joined AMD in March 2022 and has spent his entire professional career defining and building products for the data center market.",https://www.amd.com,"AMD is a multinational semiconductor company founded in 1969, specializing in high-performance computing, graphics, and visualization technologies. The company designs and markets microprocessors, graphics processing units (GPUs), and AI accelerators under brands like Ryzen, EPYC, Radeon, and Instinct.","AMD is building and advancing data center AI, AI PCs, and hybrid computing solutions to power supercomputers, HPC, and enterprise AI workloads. The company serves original equipment manufacturers (OEMs), public cloud service providers, system integrators, and data center customers globally.",Public company,,
Carmen,Li,Founder and CEO,Silicon Data,Tier 2,https://www.linkedin.com/in/carmenrli,Carmen Li is the Founder and CEO of Silicon Data and Compute Exchange. She previously held leadership roles at Bloomberg LP in enterprise data alliances and has a background in venture capital at DRW.,https://www.silicondata.com,"Silicon Data is a market-intelligence platform that provides real-time GPU pricing, performance benchmarks, and sustainability data to help businesses optimize compute resource allocation and strategic planning.","The company is building a comprehensive compute intelligence platform to bring transparency and efficiency to global compute markets, serving AI builders, financial institutions, and infrastructure providers who need real-time visibility into GPU economics and market trends.",$5.0M,Seed - $4.7M (March 2025),"DRW, Jump Trading Group, Alloy Fund, Builders, Ponte Partners"
Claire,Lebarz,Chief Technology Officer,Malt,Tier 1,,"No specific information about Claire Lebarz, Chief Technology Officer at Malt, including her LinkedIn profile or detailed career background, is available in the provided data.",https://www.malt.com/,"Malt is Europe's leading freelancing platform that connects businesses with freelancers, facilitating project matching, communication, and administrative tasks. Founded in 2013 and headquartered in Paris, it serves over 800,000 freelancers and more than 70,000 companies across Europe, offering a tech-driven marketplace with a human approach.","Malt aims to transform the intellectual services industry by providing freelancers and companies with a transparent, efficient platform to build long-term relationships and manage freelance projects. It focuses on empowering individuals to choose their work and clients, streamlining freelancer-client communications, and expanding its presence across multiple European countries.",Unknown,"Series D round of $97.5 million on May 31, 2021","Goldman Sachs Investment Partners, Eurazeo, Idinvest Partners, Isai, Serena, Bpifrance"
Alex,Mashrabov,Founder,Higgsfield,Tier 0,https://www.linkedin.com/in/amashrabov/,"Alex Mashrabov is the founder and CEO of Higgsfield AI. He is a former head of generative AI at Snap, where he launched several large-scale AI consumer products. He previously co-founded AI Factory, which was acquired by Snap Inc. for $166 million.",https://higgsfield.ai/,Higgsfield AI is a generative artificial intelligence company based in San Francisco that develops software for creating and editing video and images. It offers a workflow-oriented platform used by creators and marketing teams to produce short-form social media content and advertising materials.,"Higgsfield is building an AI-powered video creation and editing platform designed to make high-fidelity, cinematic video production fast, intuitive, and accessible. It serves creators, marketers, Hollywood studios, brands, and social media teams by enabling scalable, controllable, and professional-grade video content creation that reduces time and cost compared to traditional workflows.",$138 million total funding,"$80 million Series A extension round in January 2026, valuing the company at over $1.3 billion","Accel, Menlo Ventures, AI Capital Partners, GFT Ventures"
Ben,Fletcher,Partner,Accel,Investor,https://www.linkedin.com/in/bfletch11/,"Ben Fletcher is a Partner at Accel, a global venture capital firm. Prior to joining Accel in 2016, he worked at Google on its corporate development team, where he led numerous mergers, acquisitions, and investments across communications, collaboration software, robotics, and developer tools. Before that, he worked in finance and partnerships at Apple.",https://www.accel.com/,"Accel is a global venture capital firm founded in 1983 by Arthur Patterson and Jim Swartz. It has offices in Palo Alto, California, San Francisco, California, London, and India, and has invested in over 300 companies including Facebook, Slack, and Dropbox.","Accel partners with and invests in exceptional teams from inception through all phases of private company growth, focusing on enterprise IT, consumer, and SaaS companies. The firm is building and supporting transformative companies in sectors like AI, cloud, cybersecurity, and gaming, serving ambitious entrepreneurs who want to build world-class, category-defining businesses.",Unknown,$5 billion raised in Q1 2026 for late-stage AI investments,"Tiger Global Management, Insight Partners, Alteria Capital"
Dean,Leitersdorf,Co-Founder & CEO,Decart,Tier 1,https://www.linkedin.com/in/dean-leitersdorf/,"Dean Leitersdorf is the Co-Founder and CEO of Decart, a company he co-founded with Moshe Shalev. He is a Computer Science PhD and was the youngest PhD graduate in the history of Technion - Israel Institute of Technology at age 23.",https://www.decart.ai,"Decart is a fully vertically integrated frontier AI research lab that builds state-of-the-art, real-time world models and the infrastructure required to run them. The company's core technology is the Decart Optimization Stack, spanning hardware-aware model design, data pipelines, inference optimization, and productization.","Decart is building real-time video generation technology and AI-driven open-world experiences, including the Lucy real-time editing model and the Oasis real-time world model. The company aims to serve customers across interactive media, live streaming, e-commerce, robotics, manufacturing, and logistics, with a vision of reaching 1 billion users.",$53 million,"Series A, $32M, 2025","Sequoia Capital, Benchmark, NVIDIA, Amazon, Stanford University"
Arthur,Mensch,CEO & Co-Founder,Mistral AI,Tier 0,https://www.linkedin.com/in/arthur-mensch,"Arthur Mensch is the Co-Founder and CEO of Mistral AI, a French artificial intelligence company headquartered in Paris. He previously worked as a research scientist at Google DeepMind, where he focused on large language modeling, multimodal models, and retrieval systems.",https://mistral.ai,"Mistral AI is a French artificial intelligence company, founded in 2023, that develops open-weight large language models (LLMs) and proprietary AI models. It is one of the world's leading generative AI developers and the largest AI company in Europe by valuation.","Mistral AI builds open-source and commercial language models, AI assistants, and agents, with a focus on cost-efficient, transparent, and customizable AI solutions. The company serves developers, enterprises, public sectors, and industries by providing AI platforms that can be deployed on private servers or European data centers, emphasizing data privacy, sovereignty, and control.",$3.05B,"Series C - $830M - March 30, 2026","ASML, Andreessen Horowitz, BNP Paribas, Lightspeed Venture Partners, General Catalyst, NVIDIA, Eric Schmidt, Xavier Niel, JCDecaux"
Bar,Winkler,Co-Founder & CEO,Wonderful,Tier 1,https://www.linkedin.com/in/bar-winkler/,"Bar Winkler is the Co-Founder and CEO of Wonderful. He previously founded Approve.com, which was acquired by Tipalti, where he then served as General Manager.",https://wonderful.com,"Wonderful is an enterprise agent platform transforming how enterprises deploy AI. It is one of the fastest-growing applied AI companies, having raised significant funding since its founding.","Wonderful is building an enterprise AI platform that enables large organizations to deploy AI solutions effectively. It serves enterprises looking to integrate AI into their operations with flexibility and ease, emphasizing seamless integration and customer autonomy.",$286 million,"Series B, $150 million",
Alex,Banks,Writer & Founder,The Signal,Tier 2,,"No LinkedIn profile or career background information found for Alex Banks, Writer & Founder at The Signal.",https://thesignal.com/,"The Signal is an online platform providing newsletters on business and finance, covering topics such as politics, marketing, technology, and entertainment.","The Signal aims to deliver informative and engaging newsletters to its audience, serving readers interested in business, finance, politics, marketing, technology, and entertainment topics.",$436K,"Seed round of $155K on Jun 22, 2022","Peak XV Partners, LetsVenture"
Charlie,Kawwas,President,Broadcom,Tier 3,https://www.linkedin.com/in/charlie-kawwas,"Charlie B. Kawwas is President of the Semiconductor Solutions Group at Broadcom, responsible for the company’s 15 Semiconductor Divisions and the Brocade Storage Networking Division. Prior to this role, he served as Chief Operating Officer from December 2020 and as Senior Vice President and Chief Sales Officer from May 2014, driving strategic growth of the hardware businesses from $4B to $30B+.",https://www.broadcom.com/,"Broadcom Inc. is a global technology leader that designs, develops, and supplies a broad range of semiconductor and infrastructure software solutions. The company serves the data center, networking, software, broadband, wireless, storage, and industrial markets.","Broadcom is building and working toward high-performance semiconductor and infrastructure software solutions, including AI networking, connectivity, and cybersecurity products. It serves global enterprises, data centers, telecommunications companies, hyperscalers, telcos, automotive industries, and industrial sectors.",Unknown,,
David,Dubrovsky,Chief Investment Officer,5C,Tier 0,https://www.linkedin.com/in/daviddubrovsky,"David Dubrovsky is an investment executive focused on infrastructure and capital allocation, currently serving as Chief Investment Officer at 5C. He has expertise in investment management, executive leadership, and resource allocation, based in New York, United States.",https://5c.com,"5C is a company involved in data centers and infrastructure, focusing on corporate development, mergers, and investments in this sector. It operates in the technology and real estate space, providing infrastructure solutions.","5C is building and working toward expanding its data center infrastructure and investment portfolio, serving clients who require scalable and reliable data center solutions. The company aims to grow through strategic corporate development and mergers to enhance its market position.",Unknown,,
Anna,Goldie,Founder and CEO,Ricursive Intelligence,Tier 1,https://www.linkedin.com/company/ricursive-intelligence,"Dr. Anna Goldie is co-founder and CEO of Ricursive Intelligence, a frontier AI lab founded in 2025. She is a former Google DeepMind researcher who co-created AlphaChip, an AI system that automates chip layout design, which was later deployed across multiple generations of Google's Tensor Processing Units (TPUs).",https://www.ricursive.com/,"Ricursive Intelligence is an AI research and engineering company focused on automating and accelerating chip design for hyperscalers, cloud AI providers, and semiconductor firms. The company applies machine learning to automate tasks such as floorplanning and layout in the semiconductor design process.","Ricursive is building a full-stack semiconductor design platform that closes the recursive feedback loop between AI models and the chips that power them, compressing chip design timelines from years to weeks. The company aims to enable rapid co-evolution of AI and hardware, serving hyperscalers, cloud AI providers, and semiconductor firms by delivering ready-to-build chip designs.",$335 million,"Series A - $300 million - January 26, 2026","Lightspeed Venture Partners, DST Global, NVentures (NVIDIA), Felicis, 49 Palms, Radical, Sequoia Capital"
Eve,Bodnia,CEO & Founder,Logical Intelligence,Tier 3,https://www.linkedin.com/in/eve-bodnia-351b41355,"Eve Bodnia is the CEO and Founder of Logical Intelligence, a company she founded in 2025. She is a mathematician and physicist with a Ph.D. in quantum information and algebraic topology from UC Santa Barbara, and has authored 22 academic papers on dark matter and particle physics.",https://logicalintelligence.com,"Logical Intelligence is an AI startup that develops energy-based reasoning (EBM) models for formal verification and theorem proving, creating deterministic AI for mission-critical applications.","The company is building Kona 1.0, the world's first energy-based reasoning model, to provide reliable, provably correct, and auditable reasoning for sectors like energy infrastructure, advanced manufacturing, robotics, semiconductor verification, and financial risk management.",Unknown,,
Ash,Edwards,Head of Forward Deployed Research Engineering,Poolside,Tier 0,https://www.linkedin.com/in/ash-edwards-10a14b173,"Ash Edwards is the Head of Forward Deployed Research Engineering at Poolside. Prior to this role, he was a co-founder of Fern Labs, a London-based forward-deployed research engineering company that was acquired by Poolside, and he previously led complex deployments at Palantir.",https://poolside.ai/,"Poolside is an artificial intelligence company that develops specialized foundation models and agentic systems purpose-built for software engineering. It focuses on automating and improving coding processes while emphasizing security, privacy, and efficiency for businesses.","Poolside is building a generative AI foundation model, developer tools, and single- and multi-agent systems to reshape the developer experience and reach artificial general intelligence (AGI). It serves security-conscious enterprises, Global 2000 companies, and public sector/government agencies by deploying systems directly within their secure boundaries.",$626 million,"Series B, $500 million, October 2024","Bain Capital Ventures, DST Global, eBay Ventures, Nvidia, StepStone Group"
Alexandre,LeBrun,CEO,AMI,Tier 0,https://www.linkedin.com/in/alexandre-lebrun,"Alexandre LeBrun is the CEO of AMI Labs, a French artificial intelligence startup co-founded by Yann LeCun. He is a serial AI entrepreneur with prior experience as the co-founder of Nabla, a medical AI startup.",https://amilabs.xyz/,"AMI Labs is a frontier AI research lab founded by Yann LeCun, aiming to build a new class of AI systems that understand the real world, have persistent memory, can reason and plan, and are controllable and safe.","AMI is developing world models—AI systems that understand the physical world rather than just language—to power businesses in robotics, manufacturing, and wearables. The company serves industrial process control, automation, healthcare, and other sectors requiring reliable, safe, and controllable AI.",$1.03 billion,Seed round - $1.03 billion - March 2026,"Nvidia, Temasek, Bezos Expeditions, Cathay Innovation, Greycroft, Hiro Capital, HV Capital, Mark Cuban, Eric Schmidt, Samsung, Toyota Ventures, Sea, SBVA"
Amin,Vahdat,"Chief Technologist/SVP, AI and Infrastructure",Google,Public,,"No LinkedIn profile or career background information for Amin Vahdat, Chief Technologist/SVP, AI and Infrastructure at Google was found in the provided results.",https://www.google.com,"Google is an American search engine company, founded in 1998 by Sergey Brin and Larry Page. It now offers more than 50 Internet services and products, including online advertising, search engine technology, cloud computing, software, and Artificial Intelligence (AI).","Google is building and working toward advancing AI, cloud computing, and its suite of products and services. It serves billions of users and millions of businesses worldwide, including through its Android, Pixel, YouTube, and Google Cloud offerings.",Unknown,,
Arti,Garg,Chief Technologist,AVEVA,Tier 0,,"No LinkedIn profile or career background information for Arti Garg, Chief Technologist at AVEVA, was found in the provided results.",https://www.aveva.com,"AVEVA is a leading industrial technology company that provides software solutions for engineering, operations, and data management across energy, manufacturing, infrastructure, and other industries.","AVEVA is building and delivering Industrial Intelligence-as-a-Service (IIaaS) and AI-infused software solutions to help industrial organizations design, build, operate, and optimize with greater efficiency, sustainability, and resilience. They serve industries including energy, manufacturing, infrastructure, and utilities, helping them achieve net zero goals and improve asset performance.",Unknown,,
Anastasis,Germanidis,Co-Founder and Co-CEO,Runway,Tier 3,https://www.linkedin.com/in/agermanidis,"Anastasis Germanidis is a Greek AI researcher, software engineer, and artist based in New York City. He is the Co-Founder and Co-CEO of Runway, with a background as a machine learning researcher at IBM and experience as a distributed systems back-end engineer. He studied Computer Science at Wesleyan University and completed a Master's at NYU's Interactive Telecommunications Program.",https://runwayml.com,"Runway is an applied AI research company pioneering machine learning-powered video, image, and world-building systems that reduce production time and expand creative possibilities. It serves the film, television, advertising, music, and experimental media industries, enabling creators to design and simulate visual worlds.","Runway is building advanced AI tools for generative video and cinematic AI, aiming to extend human creativity by enabling creators to design, simulate, and explore visual worlds previously impossible. It serves creative professionals and industries by providing innovative AI-powered content creation technologies.",Unknown,,
Caroline,Daniel,Partner,Brunswick,Public,https://uk.linkedin.com/in/caroline-daniel-58598a23,"Caroline Daniel is a Partner at Brunswick Group, specializing in technology, artificial intelligence, and media. She provides strategic communications advice to boards and senior executives at both FTSE100 companies and tech start-ups. She joined Brunswick in 2016 after 17 years at the Financial Times in senior editorial roles.",https://www.brunswickgroup.com/,"Brunswick Group is a corporate advisory firm that specializes in critical issues and corporate relations. It advises clients on business critical issues across a range of specialist offers and sectors, including media, technology, and corporate governance.","Brunswick Group works with clients on strategic communications, media and technology advisory, and corporate governance. It serves FTSE100 companies, tech start-ups, and other organizations facing complex business challenges, helping them navigate critical issues and build effective corporate relationships.",Public company,,
Ashutosh,Kulkarni,CEO,Elastic,Tier 1,https://www.linkedin.com/in/kulkarniashutosh,"Ashutosh Kulkarni is the CEO of Elastic since January 2022. He has extensive experience in product management, strategy, product development, marketing, business development, alliances, and negotiations. Prior to becoming CEO, he was Chief Product Officer at Elastic, providing him with deep knowledge of the company's technology and market direction.",https://www.elastic.co/,"Elastic is a Dutch-American software company that provides a platform for enterprise search, observability, and cybersecurity. Its products enable users to search and analyze large-scale data, monitor system performance, and detect anomalies. The company offers solutions including Elasticsearch, Kibana, Beats, and Logstash, serving industries such as financial services, healthcare, manufacturing, public sector, retail, and telecommunications.","Elastic is building and enhancing its Search AI Platform to enable powerful AI and machine learning-enabled search applications. It aims to be the best platform for unstructured data, context and retrieval, and specialized AI agents. Elastic serves enterprises needing real-time data insights, security analytics, and observability solutions, including more than 50% of the Fortune 500 companies.",$104 million total funding over 3 rounds,"Series C round on June 5, 2014, raising $70 million led by New Enterprise Associates","New Enterprise Associates, 10 investors in total, including 9 institutional investors"
Gorkem,Yurtseven,Co-founder and CTO,Fal,Tier 1,https://www.linkedin.com/in/gorkemy,"Gorkem Yurtseven is the Co-founder and CTO of fal, a generative media company. He previously worked at Foster + Partners in the Applied R&D team, building and deploying technology from applied ML to design tools that support creative work.",https://fal.ai/,"fal is a generative media platform that provides optimized inference and fine-tuning for video, audio, image, 3D, and other multimodal AI models to enable creative workloads.","fal empowers developers to create the next generation of creativity tools by focusing on generative media, hosting over 300 diverse models across image, video, and audio, and maximizing GPU utilization while reducing inference costs. The company serves developers and enterprises looking to accelerate their usage of AI-powered creative workloads.",Unknown,,"Salesforce Ventures, Kindred Ventures"
Ben,Richardson,"VP, Strategy and MD",CoreWeave,Tier 0,,No LinkedIn profile information for Ben Richardson was found in the provided results.,https://www.coreweave.com/,"CoreWeave is an AI-native cloud computing company based in Livingston, New Jersey, specializing in providing cloud-based GPU infrastructure to AI developers and enterprises, and developing its own chip management software.","CoreWeave builds and operates AI-native cloud platforms with next-generation infrastructure, intelligent tools, and expert support to power complex AI workloads. It serves AI developers, enterprises, and government agencies, including major clients like OpenAI, Microsoft, Meta, and IBM.",$20+ billion (over $20 billion in capital raised in 2026),"Post-IPO Debt round of $1B on April 15, 2026","NVIDIA, Fidelity Investments, Morgan Stanley, Blackstone, Magnetar, Coatue, Elk Grove, Jane Street Capital"
Arvind,Jain,Founder & CEO,Glean,Tier 0,https://www.linkedin.com/in/arvind-jain-5935161,"Arvind Jain is the Founder and CEO of Glean, an AI-powered work assistant that brings people the answers they need to be more productive and happier at work. Prior to Glean, he co-founded and led R&D at Rubrik, a publicly traded leader in the data security space, and spent over a decade at Google as a distinguished engineer, where he led teams in Google’s Search, Maps, and YouTube products.",https://www.glean.com/,"Glean is an AI-powered work assistant and enterprise AI platform that connects company knowledge, powers search, answers, and AI agents, and helps every team work faster. It combines enterprise search, an AI assistant, and AI agents to bring answers to employees and automate real work across every team.","Glean is building a Work AI platform that connects to all your company's data, allowing employees to find, create, and automate anything. The company is expanding into AI agent technologies to automate workflows using natural language instructions and is serving companies with 500 to 2,000 employees who need to manage fragmented knowledge across disparate applications.",$765M,"Series F - $150M on June 10, 2025","Wellington Management, Khosla Ventures, Bicycle Capital, Geodesic Capital, Archerman Capital, Altimeter, Capital One Ventures, Citi, Coatue, DST Global, General Catalyst, ICONIQ, IVP, Kleiner Perkins, Lightspeed Venture Partners, Sapphire Ventures, Sequoia Capital, SoftBank Vision Fund 2"
