company,tier,amount_usd,total_funding,latest_round,key_investors,people,cohorts,company_info,homepage
Sierra,Tier 0,15800000000,Over $1 billion,$950 million Series E funding round led by Tiger Global and GV in May 2026 at a $15.8 billion valuation,"Tiger Global, GV (Google Ventures), Benchmark, Sequoia, Greenoaks",5,"registrants,speakers","Sierra is a conversational AI platform company co-founded by Bret Taylor and Clay Bavor, focused on building AI agents that help businesses improve customer experiences through automated, conversational interactions. The company integrates AI-driven support into enterprise operations, serving major clients including more than 40% of the Fortune 50.",https://sierra.ai/
Surge AI,Tier 0,15000000000,Unknown,"In July 2025, Surge AI initiated its first external fundraise, seeking up to $1 billion in a mix of primary and secondary capital at a valuation exceeding $15 billion.","Andreessen Horowitz, Warburg Pincus, TPG Inc.",1,speakers,"Surge AI is an American data annotation company based in San Francisco, California, that focuses on reinforcement learning from human feedback (RLHF), RL environments, and annotating language data.",https://www.surgehq.ai
Neuronaix,Tier 0,14900000000,$14.9B,,,1,registrants,"Neuronaix develops an AI platform for industrial robotics, focusing on 3D vision, learning from demonstration, and trajectory planning to deploy new tasks in 20 minutes. The company was founded in 2023 as a SAS (Société par Actions Simplifiée) and is based in Marignane, France.",https://www.neuronaix.com/en/
Nocloz,Tier 0,14700000000,$14.7B,Pre-Seed round,"Contribution, Business Angels",1,registrants,"Nocloz is a French SaaS company providing an AI-powered financial reporting and data management platform designed for SMBs and mid-market companies, with a focus on financial BI.",https://nocloz.com
Uber,Tier 0,13200000000,$13.2 billion,"$1.15 billion Post-IPO financing on December 19, 2020","Fidelity Investments, New Enterprise Associates, SoftBank, Toyota, Google Ventures, Benchmark, TPG, Menlo Ventures",2,registrants,"Uber Technologies, Inc. is a multinational technology company headquartered in San Francisco, California. It provides ride-hailing, food delivery, freight transportation, and business management solutions globally, operating in about 70 countries and 15,000 cities.",https://www.uber.com
Uber Technologies,Tier 0,13200000000,$13.2 billion,"Public Investment Fund, Microsoft, and Kingdom Holding Company strategic round","Public Investment Fund, Microsoft, Kingdom Holding Company, SoftBank Vision Fund, Toyota, Denso",1,registrants,"Uber Technologies, Inc. is a multinational technology platform that provides ride-hailing services, courier services, food delivery, and freight transport. It develops and operates proprietary applications to facilitate movement and logistics across approximately 70 countries and 15,000 cities worldwide.",https://www.uber.com/
Uber Technologies Inc,Tier 0,13200000000,Approximately $13.2 billion raised over 26 funding rounds,"Series E round focused on scaling global operations and market reach, involving investors like Microsoft and Kingdom Holding Company","Microsoft, Toyota Motor Corporation, Baidu, Dragoneer Investment Group, BlackRock, Fidelity Management & Research Company, Google Ventures, Kleiner Perkins, Sequoia Capital, TPG, Qatar Investment Authority",1,registrants,"Uber Technologies Inc. is a multinational technology platform headquartered in San Francisco, California, that provides ride-hailing, food delivery via Uber Eats, freight transport, and other mobility services. It operates globally in approximately 70 countries and 15,000 cities, connecting consumers, drivers, merchants, shippers, and carriers through its proprietary technology applications.",https://www.uber.com
Baseten,Tier 0,13000000000,Over $2.1 billion as of June 2026,$1.5 billion Series F funding round in June 2026 at a $13 billion valuation,"Altimeter Capital, Conviction Partners, Spark Capital, Sands Capital, Wellington Management, IVP, Greylock, 01A, Blackbird, Durable Capital Partners, Verified Capital, Battery Ventures, D. E. Shaw Ventures, BOND, CapitalG, Nvidia",18,"registrants,speakers","Baseten is a San Francisco-based AI infrastructure company founded in 2019 that provides a unified platform for deploying, scaling, and monitoring AI models and applications. It offers high-performance inference infrastructure optimized for large-scale AI workloads, supporting enterprises in healthcare, consumer, and other sectors. The company focuses on simplifying AI deployment by abstracting infrastructure complexities such as GPU management, autoscaling, and observability.",https://www.baseten.co
Bright Data,Tier 0,12400000000,$12.4B,,EMK Capital,24,"registrants,speakers","Bright Data is a global technology company that offers web data collection and proxy services, helping organizations gather publicly available web data. It operates as a cloud-based platform providing proxy networks and AI-powered web scraping tools.",https://brightdata.com
Wiz,Tier 0,12000000000,$1.9 billion,"Series E round, $1 billion raised in May 2024 at a $12 billion valuation","Andreessen Horowitz, Lightspeed Venture Partners, Thrive Capital, SoftBank Vision Fund, Greenoaks Capital, Howard Schultz",4,"registrants,speakers","Wiz is an Israeli-American cloud security company headquartered in New York City, specializing in cloud security posture management and application protection. Founded in 2020, it provides a unified cloud-security platform that offers visibility and protection across code, CI/CD pipelines, and cloud environments, serving major cloud providers like AWS, Azure, and Google Cloud.",https://www.wiz.io/
ElevenLabs,Tier 0,11000000000,$822 million total funding raised,"Series D, $11.5 million on June 17, 2026, with a valuation of $11 billion","Sequoia Capital, Andreessen Horowitz, ICONIQ Capital, BroadLight, NFDG, Valor Capital, AMP Coalition, Smash Capital, Lightspeed Venture Partners, Evantic Capital, Bond",18,"registrants,speakers","ElevenLabs Inc. is a software company founded in 2022 specializing in AI voice technology, including natural-sounding speech synthesis, voice cloning, and multilingual audio tools. It is headquartered in New York City with offices in London and Warsaw, employing around 400-500 people. The company develops advanced AI audio models used for audiobooks, podcasts, video games, customer support, and accessibility.",https://elevenlabs.io/
HEC Paris,Tier 0,10600000000,$10.6B,,Paris Chamber of Commerce and Industry,10,registrants,"HEC Paris is a world-renowned business school and grande école specializing in education and research in management sciences. Founded in 1881, it offers a complete range of business programs including Master in Management, MBA, PhD, and executive education.",https://www.hec.edu/en
FIS,Tier 0,10500000000,$10.5B,,,1,cxo,"FIS (Fidelity National Information Services) is an American financial technology company that provides financial technology solutions for financial institutions, businesses, and developers. It processes approximately 75 billion transactions annually, facilitating the movement of roughly US$9 trillion globally.",https://www.fisglobal.com/
Crusoe,Tier 0,10000000000,$4.14 billion,"Series E, $1.38 billion raised in October 2025, valuation $10 billion","Valor Equity Partners, Mubadala Capital, Founders Fund, Fidelity Management, Nvidia, Salesforce Ventures, 137 Ventures, 1789 Capital, Activate Capital, Altimeter Capital, Atreides Management, BAM Elevate, DPR Construction, Ora Global, Franklin Templeton, Galvanize, Long Journey Ventures, Lowercarbon Capital, M37 Management, MCJ, Radical Ventures, Ribbit Capital, Saquon Barkley, Spark Capital, StepStone Group, Supermicro, T. Rowe Price, Tiger Global Management, Upper90, Winklevoss Capital",22,"registrants,speakers","Crusoe is an AI factory company that designs, builds, and operates vertically integrated AI infrastructure, including AI-optimized data centers and a high-performance cloud platform for AI workloads.",https://crusoe.ai
PSG Equity,Tier 0,10000000000,Over $10 billion in capital commitments,"PSG VI and PSG Sequel closed on February 12, 2025, raising a combined $8 billion ($6 billion for PSG VI and $2 billion for PSG Sequel).","Canada Pension Plan Investment Board (CPP Investments), GIC, StepStone, funds managed by Hamilton Lane, California Public Employees' Retirement System, New York State Common Retirement Fund, Washington State Investment Board, Massachusetts Pension Reserves Investment Management Board",1,registrants,"PSG Equity is a growth equity firm that partners with software and technology-enabled services companies. The firm provides capital and operational expertise to help these businesses navigate transformational growth, capitalize on strategic opportunities, and build strong teams.",https://psgequity.com/
CMA CGM,Tier 0,9500000000,$9.5 billion,"Conventional Debt round of $621 million on October 12, 2020","Societe Generale, BNP Paribas, HSBC, European Union, and others",1,cxo,"CMA CGM is a global leader in shipping and logistics, providing maritime transportation services with a fleet of over 650 vessels serving more than 420 ports worldwide. The company operates in 177 countries with 160,000 employees and offers end-to-end transport solutions including shipping, port operations, supply chain management, and warehousing.",https://www.cma-cgm.com/
1826 Group / IREN,Tier 0,9300000000,"Approximately $9.3 billion raised in the past eight months, including customer prepayments, convertible notes, GPU leasing, and financing.",Recent funding includes a $3.65 billion investment-grade GPU financing package and a $2 billion convertible senior notes offering (with an option for an additional $300 million) to fund AI infrastructure expansion.,"Not explicitly listed in the data, but includes major contracts and partnerships with Microsoft, Nvidia, and financing from convertible notes and equity programs.",1,registrants,"1826 Group is an event production company specializing in budgeting, location sourcing, site design, and producing original experiential events with a full-time staff managing tours, production, and stage management. IREN Limited is a vertically integrated data center company focused on renewable energy-powered AI cloud infrastructure and Bitcoin mining, operating in Australia and Canada with a significant presence in AI data center expansion.",https://iren.com/
IREN,Tier 0,9300000000,$9.3 billion,"Convertible notes, $550M, 2024","Nvidia, Microsoft",17,"registrants,speakers","IREN Limited is a vertically integrated data center company operating in Australia, Canada, and the US, specializing in renewable energy-powered data centers optimized for Bitcoin mining, AI cloud services, and high-performance computing workloads. The company owns and operates computing hardware, electrical infrastructure, and data centers, focusing on sustainable and scalable compute infrastructure.",https://iren.com/
Navan,Tier 0,9200000000,"Approximately $2.2 billion raised over multiple rounds since 2015, including a $300 million Series G round in October 2022 at a $9.2 billion valuation, and a $923 million IPO in October 2025.","IPO on October 30, 2025, raising $923 million.","Andreessen Horowitz, Lightspeed Venture Partners, Greenoaks, Coatue, Zeev Ventures, Addition, Goldman Sachs, Premji Invest",2,"registrants,speakers","Navan (formerly TripActions) is an all-in-one, AI-powered platform for corporate travel, corporate cards, and expense management. It simplifies the travel lifecycle by combining booking, payment processing, expense reconciliation, and reporting into a single application.",https://www.navan.com
Grafana Labs,Tier 0,9000000000,"Over $540 million raised, with a valuation reaching approximately $9 billion as of early 2026.","In 2024, Grafana Labs raised $270 million at a $6 billion valuation; subsequently, in early 2026, it was reported to be raising a new round led by GIC, with investors including Alphabet's CapitalG, Lightspeed, and Sequoia, valuing the company at about $9 billion.","Lightspeed Venture Partners, Lead Edge Capital, Sequoia Capital, GIC, CapitalG (Alphabet), Coatue, J.P. Morgan, Sapphire Ventures, Tiger Global",4,registrants,"Grafana Labs is an open-source software company that develops tools for observability and data visualization, including Grafana, Loki, Mimir, and Tempo. The company was founded in 2014 and is headquartered in New York, New York.",https://grafana.com/
Replit,Tier 0,9000000000,$922M,$400M Series D round at a $9B valuation,"Andreessen Horowitz, Craft Ventures, Reach Capital, Prysm Capital, Coatue Management, Khosla Ventures, Y Combinator, Accenture Ventures, G Squared, Okta Ventures",10,"registrants,speakers","Replit is an American technology company that provides a collaborative, browser-based software development platform and integrated development environment (IDE). It allows users to write, run, and deploy applications instantly in various programming languages without local setup.",https://replit.com/
JetBrains,Tier 0,8000000000,"JetBrains has raised $7 billion in private funding at an $8 billion valuation, with the latest round being a private round led by undisclosed investors in 2024.","Private round, $7 billion raised, January 2024.",Private investors (specific names not disclosed).,13,registrants,"JetBrains is a global software development company that specializes in creating intelligent, productivity-enhancing tools and integrated development environments (IDEs) like IntelliJ IDEA, PyCharm, and WebStorm. It is also the creator of the Kotlin programming language, which is widely used for Android development.",https://www.jetbrains.com/
University Paris Saclay,Tier 0,7500000000,"Approximately €7.5 billion initial funding, including €2.5 billion from the state for construction and research projects, with additional investments through the Paris-Saclay Seed Fund and other sources.","Not applicable as a public university; however, the Paris-Saclay Seed Fund invests between €100,000 and €2 million in pre-seed and seed stage startups emerging from the university ecosystem.","French government, BNP Paribas, Société Générale, Partech Ventures, Idinvest, ISAI, Kurma Partners, Ambition Amorçage Angels (F3A), and various angel investors including alumni and corporate leaders.",1,registrants,"Université Paris-Saclay is a leading research university in Orsay, France, established in 2019 by merging several grandes écoles, technological institutes, and research facilities. It covers science and engineering, life sciences and health, and humanities and social sciences, with over 48,000 students and more than 275 research laboratories. It is part of the Paris-Saclay cluster, a major scientific and technological hub.",https://www.universite-paris-saclay.fr/en
Valu,Tier 0,7400000000,$7.4B,,"National Bank of Egypt, Industrial Development Bank of Egypt",1,registrants,"Valu is a universal financial technology company headquartered in Egypt, offering financial solutions including buy now and pay later (BNPL) options, investment products, savings solutions, and instant cash redemption.",http://nimrodharel.com
V.O.F.,Tier 0,7200000000,$7.2B,,"1,134 investors",1,registrants,"VOF (Vision Impossible V.O.F.) is not a company with a homepage URL found in the provided information. The search results refer to various unrelated entities with similar acronyms, including VF Corporation, V.O.F. (a fashion apparel mail order site), and VinaCapital Vietnam Opportunity Fund (VOF).",
CapitalG,Tier 0,7000000000,"$7 billion (assets under management, not direct funding raised)",,Alphabet Inc.,2,registrants,"CapitalG (formerly Google Capital) is Alphabet's independent growth fund, established in 2013 to invest in growth-stage technology companies. The firm provides both significant capital and strategic expertise, leveraging Google's in-house operators and advisors to help entrepreneurs scale their businesses.",http://capitalg.com/
DATA4,Tier 0,6818000000,$6.818 billion,"Corporate Minority round on August 1, 2025","Societe Generale, Deutsche Bank, Arjun Infrastructure Partners, PFA Pension",2,registrants,"DATA4 is a leading European data center operator and investor that designs, builds, and operates its own data centers across France, Italy, Poland, Spain, Germany, and Greece. The company creates smart, scalable, and sustainable digital facilities, offering secure, high-performance data hosting solutions to a diverse range of clients including healthcare, tech companies, and enterprises.",https://www.data4group.com
1Password,Tier 0,6800000000,"Approximately $950 million raised in total funding, with a valuation of $6.8 billion.","Series C round of $620 million raised on December 17, 2021, led by Iconiq Growth.","Accel, Iconiq Capital, Lightspeed Venture Partners, Tiger Global Management, Salesforce Ventures, Ryan Reynolds, Justin Timberlake, Trevor Noah, George Kurtz",3,"cxo,registrants,speakers","1Password is a security company founded in 2005 that provides a password manager and digital vault application to help users securely manage passwords and sensitive information. It serves over 180,000 businesses, including more than 30% of the Fortune 100 and over two-thirds of the Forbes AI 50, with a focus on identity security for people and AI agents.",https://1password.com
Disneyland Paris,Tier 0,6800000000,$6.8 billion,2025 - $1.5 billion investment in Walt Disney Studios Park over five years,"The Walt Disney Company (majority owner), Mubadala Capital (bidder for Pierre & Vacances-Center Parcs)",1,cxo,"Disneyland Paris is an entertainment resort located in Marne-la-Vallée, France, approximately 32 kilometers east of Paris. It encompasses two theme parks, seven Disney-owned hotels, two convention centers, a golf course, an arena, and a shopping, dining, and entertainment complex.",https://www.disneylandparis.com
Lovable,Tier 0,6600000000,$653M,$330M Series B in December 2025 at a $6.6B valuation,"Accel, CapitalG, Menlo Ventures, Creandum, Khosla Ventures, EQT",9,"registrants,speakers","Lovable is a Stockholm-based AI-native platform founded in 2023 that enables users to build full-stack web applications and websites using natural language prompts without coding. It uses AI to generate frontend, backend, database, authentication, and integrations, providing editable code and collaborative workspaces.",https://lovable.dev
IO-AI.TECH,Tier 0,6500000000,$225 million (2024) + $1.5 billion (OpenAI acquisition) = $1.725 billion,Acquisition by OpenAI for $6.5 billion (May 2025),"Sutter Hill Ventures, Emerson Collective, SV Angel, Maverick Ventures, Thrive Capital, Ive, OpenAI Startup Fund",1,registrants,"IO-AI TECH is a global leader in real-world robotics and embodied AI data solutions. Founded in May 2023, the team includes experts from UTokyo, PKU, and Columbia, with experience at Tencent Robotics X and more. The company focuses on robotics and AI, spanning research labs, large-scale products, and real-world deployment.",https://io-ai.tech/en/
MiniMax,Tier 0,6500000000,"Approximately $1.15 billion raised over 6 funding rounds before going public, with a valuation of about $6.5 billion at IPO.","IPO on January 9, 2026, raising approximately HK$4.8 billion (~$620 million). Prior to IPO, Series B round on March 3, 2024, raised $600 million led by Alibaba Group.","Alibaba Group, Tencent, Hillhouse Investment, HongShan Capital Group, IDG Capital, Yunqi Capital, Vitalbridge Capital, GL Ventures",11,"registrants,speakers","MiniMax is a leading global technology company pioneering large language models (LLMs) in Asia. It develops proprietary multi-modal AI models including text, speech, music, images, and video (Hailuo).",https://www.minimax.io
Okta-Auth0,Tier 0,6500000000,Okta has raised a total of $228 million over 8 rounds before going public. Auth0 raised approximately $333 million before being acquired by Okta for $6.5 billion in 2021.,"Okta's latest funding round was $300 million on February 21, 2018. Auth0's latest funding round was a Secondary Market round in July 2020.","Okta's investors include Sequoia Capital, Glynn Capital, and Scheuermann Investment. Auth0's investors include Salesforce Ventures, DTCP, Bessemer Venture Partners, Sapphire Ventures, Meritech, Trinity Ventures, Telstra Ventures, World Innovation Lab, and K9 Ventures.",8,registrants,"Okta-Auth0 provides flexible and secure identity management, authentication, and authorization solutions for workforces, customers, and AI. Its platforms securely connect enterprises to their partners, suppliers, and customers while eliminating the friction of authentication for application builders.",https://www.okta.com/
PSG,Tier 0,6000000000,Unknown,"PSG VI closed with $6 billion and PSG Sequel closed with $2 billion in capital commitments on February 12, 2025","Canada Pension Plan Investment Board (CPP Investments), GIC, StepStone, Hamilton Lane, California Public Employees' Retirement System, New York State Common Retirement Fund, Washington State Investment Board, Massachusetts Pension Reserves Investment Management Board",2,"registrants,speakers","PSG is a leading growth equity firm that specializes in partnering with middle-market software and technology-enabled services companies. Founded in 2014, the firm helps businesses navigate transformational growth, capitalize on strategic opportunities, and build strong teams.",https://psgequity.com/
Legora,Tier 0,5550000000,$600 million in Series D funding (including $550 million Series D in March 2026 and $50 million Series D extension in April 2026),"Series D, $550 million raised in March 2026 at a $5.55 billion valuation, led by Accel with participation from Benchmark, Bessemer Venture Partners, General Catalyst, ICONIQ, Redpoint Ventures, Y Combinator, Alkeon Capital, Bain Capital, Firstmark Capital, Menlo Ventures, Sands Capital, Starwood Capital, Salesforce Ventures; plus a $50 million Series D extension in April 2026 led by NVentures with Atlassian, Adams Street Partners, Insight Partners","Accel, Bessemer Venture Partners, Benchmark, ICONIQ, General Catalyst, Redpoint Ventures, Y Combinator, NVentures, Atlassian, Adams Street Partners, Insight Partners",2,"registrants,speakers","Legora is a Stockholm and New York-based legal technology company founded in 2023 that builds an AI-powered collaborative platform for lawyers. It helps legal professionals review, research, draft, and collaborate more efficiently by combining human expertise with machine intelligence. The company serves over 1,200 law firms and in-house legal teams across more than 50 markets, including major firms like Linklaters, Cleary Gottlieb, and Goodwin.",https://www.legora.com/
Essilor Luxottica,Tier 0,5500000000,$5.50B,"Post IPO round of $3.5B on July 9, 2025","Gerardet, Triodos Investment Management",1,registrants,"EssilorLuxottica is a global leader in the design, manufacture, and distribution of ophthalmic lenses, frames, sunglasses, and med-tech solutions. The company was established in 2018 through the merger of the French lens manufacturer Essilor and the Italian eyewear manufacturer Luxottica.",https://www.essilorluxottica.com/en/
Harness,Tier 0,5500000000,$614 million,"Series E round of $200 million on December 11, 2025, led by Goldman Sachs, valuing the company at $5.5 billion","Goldman Sachs, ServiceNow, Norwest Venture Partners, Menlo Ventures, IVP, Unusual Ventures, Alkeon Capital, Battery Ventures, Citi Ventures, Sorenson Capital, Thomvest Ventures, Silicon Valley Bank",7,"registrants,speakers","Harness is a platform that enables infrastructure engineers and developers to build and ship code, focusing on DevOps modernization, developer experience, secure software delivery, and cloud cost optimization.",https://harness.io
Maximis,Tier 0,5300000000,$5.3 billion (reported annual revenue in fiscal year 2024),,,7,registrants,"Maximis is a French company founded in 2013, operating as a provider of diversified HR services, specializing in retirement obligations and social charges.",https://www.maximis.fr
Oak HC/FT,Tier 0,5300000000,$5.3 billion,"Fund V, $1.94 billion, raised in 2022",Limited Partners,1,registrants,"Oak HC/FT is a premier venture and growth equity firm founded in 2014 that specializes in investing in the healthcare and financial technology (fintech) sectors. The firm partners with entrepreneurs from seed to growth stages to drive structural and systemic change in these complex, highly regulated industries.",https://www.oakhcft.com/
AVEVA,Tier 0,5000000000,Acquired by Schneider Electric in January 2023; previously raised funding including a £2.84 billion rights issue in 2020 to fund the $5 billion acquisition of OSIsoft. Total funding details are undisclosed but include major investments from Schneider Electric and Summit Partners.,"Acquisition by Schneider Electric completed on January 18, 2023; prior major funding was a £2.84 billion rights issue in November 2020 to fund the OSIsoft acquisition.","Schneider Electric, Summit Partners",2,"cxo,speakers","AVEVA is a leading industrial technology company that provides software solutions for engineering, operations, and data management across energy, manufacturing, infrastructure, and other industries.",https://www.aveva.com
Conde Nast,Tier 0,5000000000,$5B,Private round of $5B on 2024-01-01,Private,1,registrants,"Condé Nast is a global mass media company that publishes magazines, websites, and tablet and smartphone applications. It produces high-quality content across print, digital, video, and social platforms, featuring iconic brands such as Vogue, GQ, The New Yorker, and Wired.",https://www.condenast.com/
DDN,Tier 0,5000000000,$310 million,"Series B round, $300 million, January 23, 2025, led by Blackstone at a $5 billion valuation","Blackstone, ClearLight Partners",34,"registrants,speakers","DDN (DataDirect Networks) is a privately held storage company founded in 1998 and headquartered in Chatsworth, California, offering scalable data management solutions for multicloud environments.",https://www.ddn.com
Etched,Tier 0,5000000000,Approximately $1 billion,"$500 million funding round led by Stripes, including participation from Peter Thiel, reported in early 2026, valuing the company at $5 billion","Stripes, Peter Thiel, Positive Sum, Ribbit Capital, Primary Venture Partners, GitHub CEO Thomas Dohmke, former Coinbase executive Balaji Srinivasan",4,"registrants,speakers","Etched is a San Francisco-based semiconductor startup that develops Sohu, a transformer-specific AI inference ASIC and associated server hardware, designed to dramatically accelerate large language model and other transformer workloads with higher performance and lower cost than general-purpose GPUs.",https://www.etched.com/
Libertas Technology Group,Tier 0,5000000000,$5 billion,"Debt Financing round, $75.0M, April 2025","WebBank, Patriot Financial Partners",1,registrants,"Libertas Technology Group develops Libertas AI, an operating system designed for institutions where privacy and data security are critical. The platform includes a proprietary search engine and universal memory, enabling fast, secure document search and management.",https://libertastechgroup.com/
