first_name,last_name,job_title,company_name,honorific,bio,photo_url,speaker_id
Alessandro,de Luca,Head of Digital Enterprise Solutions and Group CIO,Merck,,"Alessandro de Luca is the Group Chief Information Officer of Merck KGaA, a global science and technology leader with over 66,000 employees, headquartered in Darmstadt, Germany and he has been appointed to the roleof Head of Digital Enterprise Solutions, driving the company’s global digital agenda by integrating Data, Technology and Processes into one single function, DES, a global function with @6,000 employee worldwide. As Head of DES and Group CIO, Alessandro leads Merck digital transformation, with the mission to deliver high-impact digital innovations and scalable enterprise services that support the company’s business growth and long-term aspirations. His leadership has been instrumental in redefining how Merck operates and engages with customers—by embedding cutting-edge AI advanced solutions and digital capabilities, enhancing operationalefficiency, and enabling data-driven decision-making across all business sectors. Previously, Alessandro served as CIO for Merck Healthcare, overseeing a comprehensive technology portfolio spanning R&D, Commercial, Marketing & Sales, and Global Franchises. Earlier in his Merck career, when he joined in 2011, he was responsible for global supply chain operations within Merck Healthcare, including end-to-endplanning, physical distribution, and warehousing. Before joining Merck, Alessandro spent two decades at Procter&Gamble, where he held a series ofleadership roles across Innovation, Manufacturing, Engineering, and Supply Chain Management in the fast-moving consumer goods (FMCG) sector. His experience at P&G laid the foundation for his deep expertise in leadingcomplex transformations and scaling global operations. Alessandro has a degree in Nuclear Engineering as well as Civil Engineering from La Sapienza Università di Roma.​",https://brella-assets.brella.io/uploads/speaker/photo/405116/5382cf9e7fb66.jpg,405116
Alex,Atallah,Co-founder & CEO,OpenRouter,,"Alex Atallah is the co-founder and CEO of OpenRouter, the first and largest gateway for large language models like GPT-4, Claude, Llama, DeepSeek, and more. With over 4 million developers and 250K apps on the platform, OpenRouter now provides access to the most models, the best performance and uptime, and the most insights about how to use them, emphasizing transparency, choice, and performance at scale. Before diving into the AI space, Alex co-founded OpenSea, the first and largest NFT marketplace, and helped build the early foundations of Web3. Originally trained in computer science at Stanford, Alex has spent his career working on tools that make the internet more open, creative, and accessible. These days, he's focused on helping people get the most out of AI, without the complexity or closed ecosystems. Alex has been recognized by Forbes 30 Under 30 and has been featured in The New York Times, Bloomberg, and The Wall Street Journal.",https://brella-assets.brella.io/uploads/speaker/photo/405091/a425e8eac0f31.jpg,405091
Alex,Banks,Writer & Founder,The Signal,,"Alex Banks is a founder, creator and investor. He reaches over 1 million people on social media each week with insights into the world of artificial intelligence.He is the founder and writer of The Signal, a weekly newsletter that cuts through the AI noise to over 55,000+ readers.Alex is also an active early-stage investor and advisor to startups across the AI and technology landscape.",https://brella-assets.brella.io/uploads/speaker/photo/412548/2e62895ad2b46.jpg,412548
Alex,Bouzari,Co-Founder and CEO,DDN,,"Alex Bouzari, Co-Founder and CEO of DDN, is a visionary leader shaping the future of AI and data intelligence. For over two decades, Alex has redefined how organizations harness data to drive innovation, pushing the boundaries of what & possible in AI, high-performance computing, and analytics. His early recognition of the symbiotic relationship between data-centric computing and AI has positioned DDN as the technology partner of choice for companies tackling humanity’s greatest challenges--from pioneering space exploration to breakthroughs in personalized medicine. Under Alex’s leadership, DDN has contributed to the transformation of HPC from a niche field into a foundational pillar of enterprise AI and data-driven decision-making across industries. His relentless focus on innovation, scalability, and customer impact has driven DDN to power AI factories, complex simulations, and financial modeling for over 85 of the Fortune 500, including 7 of the top 10 global financial services firms and 6 of the top 10 automotive companies. Visionary customers such as NVIDIA and Elon Musk’s xAI trust DDN’s data intelligence platforms to accelerate their AI pipelines and reduce time-to-market for groundbreaking products. Together with co-founder Paul Bloch, Alex has spearheaded initiatives that empower enterprises to unlock new business models through AI. His thought leadership on AI-driven business transformation has inspired a generation of data leaders, cementing DDN’s role as the preeminent force in AI data intelligence. Through a combination of strategic foresight, product excellence, and a passion for customer success, Alex Bouzari continues to shape the future of AI, ensuring thatorganizations across the globe can fully realize the potential of their data to drive human progress and prosperity.",https://brella-assets.brella.io/uploads/speaker/photo/405102/9f8506c6f0b36.jpg,405102
Alex,Mashrabov,Founder,Higgsfield,,"Alex Mashrabov is the Co-Founder and CEO of Higgsfield AI, leading generative video AI company for social media.  Before Higgsfield, Alex co-founded AI Factory, the startup behind Snapchat’s viral Cameos and Face Filters, which reached billions of users and was acquired by Snap in 2020. At Snap, he served as Director of Generative AI, leading teams that shaped the company’s early AI strategy.",https://brella-assets.brella.io/uploads/speaker/photo/405166/d9de5f9016fd7.jpg,405166
Alex,Saroyan,CEO & Co-Founder,Netris,,"Alex Saroyan is CEO and co-founder of Netris, the leading network automation platform for AI cloud operators. With 25+ years of experience in large-scale data center and telecom networking, Alex brings deep expertise to AI infrastructure challenges. Before Netris, he held engineering leadership roles at Lycos, Orange (France Télécom) and Ucom, where he architected a global transit network and scaled carrier infrastructure nearly 100x. Alex co-founded Netris in 2018 to bring cloud-provider-grade network automation and multi-tenancy to every AI infrastructure operator.",https://brella-assets.brella.io/uploads/speaker/photo/408205/6c79ea730ca9b.jpg,408205
Alexandre,LeBrun,CEO,AMI,,"Alex LeBrun is a serial entrepreneur who has spent two decades at the frontier of AI — before it was a buzzword. He founded one of the earliest conversational AI companies, VirtuOz (acquired by Nuance/Microsoft), and Wit.ai (acquired by Meta). He later co-founded Nabla, bringing AI to the high-stakes world of medicine. A graduate of École Polytechnique, Alex's career is defined by a single obsession- closing the gap between AI research and the real world.",https://brella-assets.brella.io/uploads/speaker/photo/405158/2f0d772216e25.jpg,405158
Alexey,Milovidov,Co-founder and CTO,ClickHouse,,"Alexey Milovidov is co-founder and CTO of ClickHouse, Inc. Alexey has 17 years of experience designing, developing, and operating data-intensive applications. He started work on ClickHouse in 2009 and initiated its release in open source in 2016. Before ClickHouse, he created the data processing engine of the world's 2nd largest web analytics system. His area of interest is data processing algorithms and technologies.",https://brella-assets.brella.io/uploads/speaker/photo/411608/1ea2ac6e0d1f5.jpg,411608
Alice,Guéhennec,"Group Chief Tech, Data & Digital Officer",Sodexo,,"Alice has been Sodexo’s Group Chief Tech, Data & Digital Officer and a member of the Global Executive Team since 2023.With over 20 years’ experience in management consulting (EY, CapGemini, Accenture) and in Information Systems Departments such as inthe Préfecture de Police de Paris, Alice has led major digital and IT transformation missions and has developed strong knowledge in organization transformation thanks to operational implementation of information systems.More recently, Alice was Group Chief Digital & Information Officer at Saur Group.Since 2022, Alice has also been Vice-Chairwoman of Cigref, the associationrepresenting the largest French companies using digital solutions and services.Alice holds a Master Degree in Computer Science of the University of Technology in Compiègne (France).",https://brella-assets.brella.io/uploads/speaker/photo/405230/6985c7c9e8e7c.jpg,405230
Ameya,Bhatawdekar,"VP, Field CTO",Braintrust,,"Ameya serves as VP, Field CTO at Braintrust, the AI observability platform for shipping quality AI products. He has spent his career using AI to help people be more effective and stay safe, and has driven multiple 0→1 initiatives to internet-scale, shipping intelligent systems for Dropbox Dash, Microsoft Office, Facebook, Windows, and major web browsers. At Dropbox, he led ML Engineering for universal AI search in Dash (search, discovery, recommendations, agentic conversational AI). Before that, he led Microsoft’s Office AI team, shipping AI features across Word, Excel, and PowerPoint, and created Office Copilot.",https://brella-assets.brella.io/uploads/speaker/photo/405099/b928667c3d182.jpg,405099
Amin,Vahdat,"Chief Technologist/SVP, AI and Infrastructure",Google,,"Amin Vahdat is a Fellow and the Chief Technologist for AI & Infrastructure at Google, where his team is responsible for delivering industry-leading infrastructure which spans custom silicon, data centers, network, and supply chain and operations. This infrastructure serves Alphabet, Google and the world, and Artificial Intelligence technologies that empower ML developers and solve customers’ most pressing business challenges. In the past, he was Vice President and General Manager for Google's compute, storage, and network hardware and software infrastructure. Until 2019, he was the Technical Lead and Vice President for the Networking organization at Google. Before joining Google, Amin was the Science Applications International Corporation (SAIC) Professor of Computer Science and Engineering at UC San Diego (UCSD). He received his doctorate from the University of California Berkeley in computer science, and is a Fellow of the Association for Computing Machinery (ACM). Amin has been recognized with a number of awards, including the National Science Foundation (NSF) CAREER award, the UC Berkeley Distinguished EECS Alumni Award, the Alfred P. Sloan Fellowship, the Association for Computing Machinery's SIGCOMM Networking Systems Award, and the Duke University David and Janet Vaughn Teaching Award. Amin was awarded the SIGCOMM lifetime achievement award for his contributions to data center and wide area networks.  He was inducted into the National Academy of Engineering in 2023 for his contributions to the design and implementation of datacenter and planet-scale networks that power cloud computer systems.",https://brella-assets.brella.io/uploads/speaker/photo/412713/fac9cbb9769f8.jpg,412713
Amit,Zavery,"President, CPO & COO",ServiceNow,,"As president, chief product officer, and chief operating officer, Amit Zavery leads ServiceNow’s platform, products, engineering, cloud infrastructure, and user experience. He also runs enterprise-wide operations to ensure business rigor — from innovation to execution.Previously, Zavery was vice president & general manager and head of platform for Google Cloud, where he was responsible for defining product strategy, running engineering, streamlining business operations, and building the business application platform business. At Google Cloud, Amit was part of the leadership team that grew the company into the fourth largest enterprise software company in the world while increasing Google Cloud’s annualized revenue from more than $7B to over $41B.Before Google, Amit was executive vice president and corporate officer of Oracle Cloud Infrastructure and Middleware products. He led Oracle’s product vision, design, development, and go-to-market strategy for cloud platform, middleware, Java and analytics portfolio and oversaw a global team of more than 4,500 engineers generating more than $6B in annual revenue.Amit has a proven track record of designing and delivering innovative andmarket-leading enterprise products, scaling businesses, and building organizations by recruiting and retaining world-class talent.He holds a Bachelor of Science in Electrical and Computer Engineering from The University of Texas at Austin and a Master of Science in Information Networking from Carnegie Mellon University.",https://brella-assets.brella.io/uploads/speaker/photo/412738/da1d878b8e77d.jpg,412738
Amritansh,Raghav,Chief Technology Officer,Asana,,"Amritansh Raghav is the Chief Technology Officer at Asana. In this role, he oversees the technical strategy and engineering execution that power Asana's vision for the Agentic Enterprise, including driving engineering excellence, scaling product delivery, and ensuring technology investments align with business outcomes.Amritansh is a multifaceted leader with 30+ years of experience spanning Engineering, Product, and Design, across both large companies and high-growth startups. Previously, he held leadership positions at Outreach, Skype, Microsoft, and Google. He is passionate about the craft of engineering and empowering teams to do their best work.Amritansh holds a Master's in Electrical Engineering and a Bachelor's in Electronics and Communication Engineering. Outside of work, he is a movie buff, enjoys collecting vinyl, traveling and arguing with his teenage children.",https://brella-assets.brella.io/uploads/speaker/photo/413155/9bc0185057a91.jpg,413155
Anas,Biad,Partner,Sequoia,,"Anas Biad is a Partner at Sequoia. He focuses on the growth-stage (Series B+) across the U.S. and Europe and works with companies including Serval, Profound, Nominal, Avelios, Harvey, Pennylane, and Trade Republic. He joined Sequoia in 2021 from Silver Lake, where he was involved in several of the firm’s late-stage software investments. Prior to that, he was at Bain, advising on due diligence for tech companies in Asia and Europe. Anas grew up in Morocco and holds an MSc in Mathematics from École Polytechnique in France.",https://brella-assets.brella.io/uploads/speaker/photo/408189/b2406b71ff57a.jpg,408189
Anastasis,Germanidis,Co-Founder and Co-CEO,Runway,,"Anastasis Germanidis is a Greek AI researcher, software engineer and artist based in New York City. He is the co-CEO and co-founder of Runway. He previously was a machine learning researcher at IBM and a distributed systems back-end engineer.",https://brella-assets.brella.io/uploads/speaker/photo/409666/78f7dbbfbc98b.jpg,409666
Andrew,Dieckman,"CVP & GM, Data Center GPU",AMD,,"Andrew Dieckmann is corporate vice president and general manager of the Data Center GPU Business Unit at AMD, where he leads the AMD Instinct™ accelerator business. In this role, he is responsible for business strategy and execution across product management, product marketing, business development, and business operations for AMD data center GPU products and solutions.Since joining AMD in 2022, Andrew has helped scale AMD Instinct from a high-performance computing accelerator portfolio into a rapidly growing AI accelerator franchise central to AMD’s data center and AI strategy. During this period, AMD has expanded the Instinct roadmap across multiple generations, including the AMD Instinct MI300 and MI350 Series accelerators, continued advances in the ROCm™ open software ecosystem and the introduction of rack-scale AI infrastructure such as AMD “Helios.” As demand for AI training, inference and agentic AI workloads accelerates, Andrew’s team works closely with cloud providers, OEMs, ODMs, enterprise customers and ecosystem partners to deliver open, high-performance AI solutions at scale.Andrew brings more than 20 years of marketing, engineering and business leadership experience in data center server and storage technologies. Before joining AMD, he held leadership roles at Microchip Technology’s Microsemi subsidiary, Microsemi and PMC-Sierra, where he helped build and scale enterprise storage businesses and led teams spanning product management, strategy, product marketing and applications engineering.Andrew holds an electrical engineering degree from Lakehead University in Ontario, Canada.",https://brella-assets.brella.io/uploads/speaker/photo/411482/423d4067aeca5.jpg,411482
Andrew,Homan,"Maverick Silicon, Managing Partner",Maverick Silicon,,"Before founding Maverick Silicon in 2024, Mr. Homan led Maverick Capital’s investments across the semiconductor, hardware, and software industries. Mr. Homan also serves on the external boards of Coherent Global, Empower Semiconductor, SiMa Technologies, TensorWave, and Upscale AI. Prior to joining Maverick in 2004, he was an Analyst in the Investment Banking Division, Financial Institutions Group at Goldman, Sachs & Co. Mr. Homan received his B.A. in Economics from Yale University, where he was a member of the heavyweight crew team.",https://brella-assets.brella.io/uploads/speaker/photo/410247/6bad481b438dc.jpg,410247
Andrey,Khusid,Founder and CEO,Miro,,"Andrey Khusid is the Founder and CEO of Miro — the Human x AI Innovation Workspace that enables organizations of any size to build the next big thing. Funded by leading investors like Accel, Iconiq and others, Miro has more than 1600 employees in 14 offices around the globe, serves more than 90 million users worldwide and is used by 250,000 companies for the end-to-end innovation lifecycle, from Discovery to Delivery.",https://brella-assets.brella.io/uploads/speaker/photo/405152/48fd4ee934cf6.jpg,405152
Anish,Agarwal,CEO,Traversal,,"Anish Agarwal is the CEO and Cofounder of Traversal, the frontier lab behind the first and only AI SRE platform validated within the Fortune 100. Backed by Sequoia and Kleiner Perkins, Traversal helps enterprises autonomously prevent, diagnose, and heal production incidents at scale. A professor of Computer Science and Operations Research at Columbia University, Anish earned his Ph.D. in Computer Science from MIT, specializing in causal machine learning — teaching AI to understand cause and effect from data. His career also includes roles as a management consultant at BCG and research scientist at Amazon and Microsoft.",https://brella-assets.brella.io/uploads/speaker/photo/405081/fb4c763196347.jpg,405081
Anna,Goldie,Founder and CEO,Ricursive Intelligence,,"Anna Goldie is Founder and CEO of Ricursive Intelligence. She previously co-led the AlphaChip project, and co-founded the ML for Systems team at Google. She was an early employee at Anthropic and a Senior Staff Research Scientist at Google DeepMind, where she developed frontier models such as Claude and Gemini. At MIT, she double majored in EECS and Linguistics and earned a Masters in EECS. She also holds a CS PhD from Stanford. She was named one of MIT Technology Review's 35 Innovators Under 35, and her research has been widely covered in major media outlets and published in Nature, NeurIPS, ICLR, EMNLP, COLM, ISPD, ICLAD, MLCAD, MLSys, and ASPLOS.",https://brella-assets.brella.io/uploads/speaker/photo/405229/6fc0dec320151.jpg,405229
Anthony,Moisant,Chief Information Officer & Chief Security Officer,Indeed,,"Anthony Moisant is Chief Information Officer (CIO) & Chief Security Officer (CSO) at Indeed. In his role he leads the global teams responsible for protecting Indeed’s marketplace, including cybersecurity, privacy, data protection, physical security, and enterprise systems. His work is centered on building trust while ensuring that Indeed’s services are resilient, reliable, and secure.Anthony is also driving Indeed’s evolution into an AI-first company. He focuses on bringing secure and responsible AI into everyday workflows so teams can work smarter, move faster, and deliver better outcomes for job seekers and employers.In addition to his role at Indeed, Anthony serves as an executive officer at Indeed’s parent company Recruit Holdings Co., Ltd., where he oversees security and information technology across the company’s global HR technology business.    Prior to joining Indeed, Anthony served as SVP & Chief Information Officer at Glassdoor.  He also held leadership roles at Tribune Media and Sony Gracenote.Anthony completed the CIO Executive Program at Boston University and is a graduate of the U.S. Navy Nuclear Submarine School. He credits his military service with shaping his leadership philosophy, instilling resilience, accountability, and a deep commitment to mission and teamwork.His first job was at a McDonald’s in Chicago where he learned the importance of discipline, customer service, and earning trust through consistent execution.",https://brella-assets.brella.io/uploads/speaker/photo/405168/3a75f8011936e.jpg,405168
Antoine,Blondeau,Co-Founder and Managing Partner,Alpha Intelligence Capital (AIC),,"Operating out of Dubai (UAE) and the United States, Antoine is a visionary technology entrepreneur and investor. He is the co-founder and managing partner of Alpha Intelligence Capital (AIC), a $400m venture capital firm investing in deep Artificial Intelligence technology companies worldwide. Over the past 25 years Antoine has dedicated himself to the development of Artificial Intelligence. He was the CEO of Dejima, the company that powered DARPA’s foundational CALO project that evolved into Apple’s Siri. Antoine was also President and COO of Nasdaq-listed Zi Corporation, whose predictive text input software was embedded in hundreds of millions of devices. He was the co-founder and CEO of Sentient Technologies, a leading San Francisco Bay Area deep AI technology startup that pioneered massively-scaled Artificial Intelligence. Antoine has held senior leadership positions at Good Technology, Salesforce, and Sybase. He is an advisor to KKR, Pictet, and BITKRAFT Ventures. Antoine is also board chair of crypto.com, one of the world’s largest blockchain and cryptocurrency full-service platforms. In addition to his fund investments, Antoine has made over 30 personal investments in deep technology firms, including SpaceX, Epic Games, Jio Platforms, Boom Supersonic, DoubleDutch (acquired by Cvent), PeerIQ (acquired by Cross River Bank), GammaNow (acquired by Animoca Brands), GoShare, KeyMe, Evolv, K Health, Inworld and Alethea. He is a founding member and General Partner of Zinc, a London-based social impact-focused technology startup incubator. Antoine started to code at age 11. He is the author of 4 patents.",https://brella-assets.brella.io/uploads/speaker/photo/410792/117913ab6d13c.jpg,410792
Antoine,Grolin,President,Groupe Projex,,"President of Groupe Projex and a graduate of the HEI engineering school, Antoine has built a rich and diverse career, combining a comprehensive understanding of economic issues with a deep sensitivity to environmental and social challenges. His experience, gained through large-scale projects, allows him to orchestrate innovative initiatives aligned with the sustainable performance expectations of businesses and communities.",https://brella-assets.brella.io/uploads/speaker/photo/410829/f72b516a31a56.jpg,410829
Antoine,Moyroud,Partner,Lightspeed Venture Partners,,"Antoine Moyroud is a partner at Lightspeed Venture Partners and sits on their European investment team since 2022. Specializing in Machine Learning and Data topics, his work on the emerging AI space has brought Lightspeed Venture Partners to partner with Mistral.ai, leading their inaugural round in 2023.Raised in the Netherlands and proficient in 4 languages, Antoine started his career in the data ecosystem with operational roles at FlixBus and Dataiku, spanning Germany, France and the UK. He holds dual degrees in Business Administration and Languages from the University of Lyon III, along with a master's in Data Science from IE Business School in Madrid.",https://brella-assets.brella.io/uploads/speaker/photo/411723/365e9fb0efa3d.jpg,411723
Apoorv,Agrawal,Partner,Altimeter Capital,,"Apoorv Agrawal is a Partner at Altimeter Capital, where he invests in AI and Software. He led Altimeter’s investments in OpenAI, Glean, Parloa, Xbow, Revolut and Baseten and previously backed Slack, Redis, OneTrust, and Nuro. Apoorv began his career as a software engineer at Palantir Technologies, spending four years driving large-scale commercial deployments in energy, insurance, and healthcare. His hands-on product and go-to-market work there continues to shape his investing lens today. Raised between India and Singapore, Apoorv holds a degree in Computer Science from National University of Singapore and an MBA from Stanford University. He now lives in Palo Alto, California, where free moments are usually filled with long rides, neighborhood runs, and swims in preparation for his next triathlon.",https://brella-assets.brella.io/uploads/speaker/photo/405082/f7db43e7f6735.jpg,405082
Ariel,Cohen,Co-Founder & CEO,Navan,,"As the CEO and co-founder of Navan, Ariel Cohen is focused on the company’s growth. This is the second company Ariel has founded with Navan Chief Technology Officer Ilan Twig — the other being StreamOnce, a business multimedia integration platform that Jive Software acquired.Before StreamOnce, Ariel led product management in a senior leadership role at Hewlett-Packard. Ariel earned an Executive MBA from the Kellogg School of Management at Northwestern University.",https://brella-assets.brella.io/uploads/speaker/photo/405110/e827694171a71.jpg,405110
Ariel,Shulman,Chief Product Officer,Bright Data,,"Ariel Shulman is an accomplished executive with extensive experience in technology management, business development, marketing, and strategy. Since joining Bright Data in 2021, Ariel has leveraged his networking, security, and Internet expertise to drive innovation to access high-quality public web data solutions at scale. He now serves as VP of Product, responsible for Bright Data’s AI-integrated product suite that leads innovation.Fluent in English, French, Spanish, and Hebrew, and with professional experience across multiple countries, Ariel plays a pivotal role in shaping Bright Data's global positioning.",https://brella-assets.brella.io/uploads/speaker/photo/405197/ef3c70a14372c.jpg,405197
